Cluster_ID,Cluster,LibrariesV1,GroceriesV1,RecCentersV1,BusStopsV1,MetroStationsV1,RecCenters,ViolentCrimes,CCCInfTodCapac,CCC12sub,CCC13sub,Vacants
Nbclus_001,1,0,3,3,45,0,3,2,100,431941.08,238386.06,2
Nbclus_002,2,1,3,4,129,0,4,5,339,5744298.1,2480378.34,38
Nbclus_003,3,0,3,1,66,2,1,3,143,1645961.22,752066.25,19
Nbclus_004,4,1,2,3,99,0,3,6,39,0,0,1
Nbclus_005,5,1,2,0,39,1,0,1,235,15945.69,19464.78,2
Nbclus_006,6,0,1,1,130,4,1,6,294,0,0,3
Nbclus_007,7,1,2,1,59,1,1,5,168,835162.58,273269.03,17
Nbclus_008,8,2,1,1,180,6,1,3,606,710749.39,242867.74,4
Nbclus_009,9,1,1,2,93,4,2,1,246,440876.85,197072.56,4
Nbclus_010,10,1,2,2,115,0,2,1,37,0,0,2
Nbclus_011,11,1,3,2,88,2,2,3,23,0,0,0
Nbclus_012,12,0,1,0,26,2,0,1,26,0,0,0
Nbclus_013,13,1,1,2,83,0,2,0,36,0,0,1
Nbclus_014,14,0,2,2,70,0,2,0,5,0,0,0
Nbclus_015,15,1,1,3,82,2,3,1,70,47927.3,32831.56,2
Nbclus_016,16,1,0,0,42,0,0,0,0,0,0,2
Nbclus_017,17,1,1,2,100,1,2,7,221,1028953.56,420332.91,12
Nbclus_018,18,1,2,4,159,1,5,7,385,5170923.34,2234298.2,39
Nbclus_019,19,1,0,2,85,1,2,1,92,651485.55,285513.5,5
Nbclus_020,20,0,1,2,117,1,2,2,133,1512436.22,688880.25,6
Nbclus_021,21,0,0,2,127,0,2,0,196,455652.42,158348.67,46
Nbclus_022,22,1,1,2,120,1,2,6,129,1829754.75,702294.85,16
Nbclus_023,23,0,2,3,84,0,3,3,139,664219.95,188134.29,29
Nbclus_024,24,0,0,2,65,0,2,1,4,612430,259132.72,14
Nbclus_025,25,1,1,1,112,2,1,3,355,1265433.51,617511.91,54
Nbclus_026,26,1,3,1,138,4,1,6,56,612430,259132.72,19
Nbclus_027,27,0,0,1,36,1,1,0,8,14272.69,14559.37,11
Nbclus_028,28,0,0,0,42,0,0,1,109,1582647.19,737428.97,14
Nbclus_029,29,0,0,0,7,0,0,0,5,38641.57,33725.19,3
Nbclus_030,30,0,0,1,38,1,1,0,36,61667.01,19188.14,31
Nbclus_031,31,1,0,2,90,1,3,5,251,4057531.09,1599503.61,59
Nbclus_032,32,1,1,1,84,0,1,1,54,544396.63,390997.87,13
Nbclus_033,33,1,0,2,101,1,2,0,139,1441644.21,707196.76,37
Nbclus_034,34,2,1,2,89,0,2,9,172,2094675.35,818781.36,28
Nbclus_035,35,0,1,1,71,0,1,0,10,356500.53,147798.24,2
Nbclus_036,36,0,0,0,46,0,0,0,100,1088601.76,389770.62,6
Nbclus_037,37,0,0,1,82,1,1,1,9,932628.29,521497.4,21
Nbclus_038,38,1,1,1,90,1,1,1,212,1065723.48,488781,13
Nbclus_039,39,1,0,3,198,0,4,5,626,8514256.72,3803748.71,46
Nbclus_040,40,0,0,0,0,0,0,1,0,0,0,0
Nbclus_041,41,0,0,0,0,0,0,0,0,0,0,0
Nbclus_042,42,0,0,0,0,0,0,0,0,0,0,0
Nbclus_043,43,0,0,0,0,0,0,0,0,0,0,0
Nbclus_044,44,0,0,0,0,0,0,1,0,0,0,0
Nbclus_045,45,0,0,0,0,0,0,0,0,0,0,0
Nbclus_046,46,0,0,0,0,0,0,0,0,0,0,0
