neighborhood_id,,,B01003_001E,B09001_001E,B09002_015E,B09002_001E,B03002_003E,B03002_004E,B03002_012E,B17001_002E,B17001_001E,B11012_001E,B08303_001E,B09001_004E,B09001_003E,B17001_004E,B17001_005E,B17001_006E,B17001_007E,B17001_008E,B17001_009E,B17001_018E,B17001_019E,B17001_020E,B17001_021E,B17001_022E,B17001_023E,B17001_033E,B17001_034E,B17001_035E,B17001_036E,B17001_037E,B17001_038E,B17001_047E,B17001_048E,B17001_049E,B17001_050E,B17001_051E,B17001_052E,B03002_005E,B03002_006E,B03002_007E,B03002_008E,B03002_009E,B01001H_003E,B01001H_004E,B01001H_005E,B01001H_006E,B01001H_018E,B01001H_019E,B01001H_020E,B01001H_021E,B01001B_003E,B01001B_004E,B01001B_005E,B01001B_006E,B01001B_018E,B01001B_019E,B01001B_020E,B01001B_021E,B01001I_003E,B01001I_004E,B01001I_005E,B01001I_006E,B01001I_018E,B01001I_019E,B01001I_020E,B01001I_021E,B15001_012E,B15001_013E,B15001_020E,B15001_021E,B15001_028E,B15001_029E,B15001_036E,B15001_037E,B15001_053E,B15001_054E,B15001_061E,B15001_062E,B15001_069E,B15001_070E,B15001_077E,B15001_078E,B15001_004E,B15001_005E,B15001_045E,B15001_046E,B15001_003E,B15001_044E,B23001_007E,B23001_014E,B23001_021E,B23001_093E,B23001_100E,B23001_107E,B23001_006E,B23001_013E,B23001_020E,B23001_092E,B23001_099E,B23001_106E,B11012_004E,B11012_008E,B11012_011E,B11012_014E,B08303_012E,B08303_013E,B01001H_001E,B01001B_001E,B01001I_001E,B15001_001E,B01003_001M,B09001_001M,B09002_015M,B09002_001M,B03002_003M,B03002_004M,B03002_012M,B17001_002M,B17001_001M,B11012_001M,B08303_001M,B09001_004M,B09001_003M,B17001_004M,B17001_005M,B17001_006M,B17001_007M,B17001_008M,B17001_009M,B17001_018M,B17001_019M,B17001_020M,B17001_021M,B17001_022M,B17001_023M,B17001_033M,B17001_034M,B17001_035M,B17001_036M,B17001_037M,B17001_038M,B17001_047M,B17001_048M,B17001_049M,B17001_050M,B17001_051M,B17001_052M,B03002_005M,B03002_006M,B03002_007M,B03002_008M,B03002_009M,B01001H_003M,B01001H_004M,B01001H_005M,B01001H_006M,B01001H_018M,B01001H_019M,B01001H_020M,B01001H_021M,B01001B_003M,B01001B_004M,B01001B_005M,B01001B_006M,B01001B_018M,B01001B_019M,B01001B_020M,B01001B_021M,B01001I_003M,B01001I_004M,B01001I_005M,B01001I_006M,B01001I_018M,B01001I_019M,B01001I_020M,B01001I_021M,B15001_012M,B15001_013M,B15001_020M,B15001_021M,B15001_028M,B15001_029M,B15001_036M,B15001_037M,B15001_053M,B15001_054M,B15001_061M,B15001_062M,B15001_069M,B15001_070M,B15001_077M,B15001_078M,B15001_004M,B15001_005M,B15001_045M,B15001_046M,B15001_003M,B15001_044M,B23001_007M,B23001_014M,B23001_021M,B23001_093M,B23001_100M,B23001_107M,B23001_006M,B23001_013M,B23001_020M,B23001_092M,B23001_099M,B23001_106M,B11012_004M,B11012_008M,B11012_011M,B11012_014M,B08303_012M,B08303_013M,B01001H_001M,B01001B_001M,B01001I_001M,B15001_001M,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income_numer,median_family_income_numer_margin,median_family_income_denom,median_family_income_denom_margin,single_mother_families,single_mother_families_margin,population_white_total,population_white_total_margin,population_black_total,population_black_total_margin,population_hisp_total,population_hisp_total_margin,total_neighborhood_poverty_numer,total_neighborhood_poverty_numer_margin,total_neighborhood_poverty_denom,total_neighborhood_poverty_denom_margin,homeownership_denom,homeownership_denom_margin,work_denom,work_denom_margin,white_18,white_18_margin,black_18,black_18_margin,hispanic_18,hispanic_18_margin,other_18,other_18_margin,other_under_18,other_under_18_margin,no_hs_degree_25_plus_denom,no_hs_degree_25_plus_denom_margin,population_under_5,population_under_5_margin,children_in_poverty_numer,children_in_poverty_numer_margin,children_in_poverty_denom,children_in_poverty_denom_margin,population_other_total,population_other_total_margin,white_under_18,white_under_18_margin,black_under_18,black_under_18_margin,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus_numer,no_hs_degree_25_plus_numer_margin,no_hs_degree_18_24_numer,no_hs_degree_18_24_numer_margin,no_hs_degree_18_24_denom,no_hs_degree_18_24_denom_margin,youth_ready_to_work_numer,youth_ready_to_work_numer_margin,youth_ready_to_work_denom,youth_ready_to_work_denom_margin,homeownership_numer,homeownership_numer_margin,work_numer,work_numer_margin,gis_id,median_family_income,total_neighborhood_poverty,children_in_poverty,no_hs_degree_25_plus,no_hs_degree_18_24,youth_ready_to_work,homeownership,work
1,0.038194222,718.706,17659.155,1096.06,37,1013.438,11835.837,1959.434,2133.684,1113.518,17599.533,10615.121,12191.691,237.839,310.272,0,0,0,46,17,0,0,0,0,0,0,0,367.759,74,82.487,16.541,24.73,19,180.352,26.838,147.893,31,24,5.838,76.676,1224.656,88,23,317.868,214.677,106.487,47.541,24.73,137.703,92.352,65.622,5.838,0,0,0,36,0,20,0,24,108.46,0,59.622,0,16,0,9,0,101,93.163,0,23.352,21,66,44.919,54,0,0,0,0,74.271,39,61,12.649,0,0,0,0,387.758,718.706,0,10.703,348.055,18.487,31,549.516,0,10.703,367.055,18.487,31,564.516,1295.252,122.757,124.271,2468.335,664.542,91,11835.837,2017.434,2133.684,16563.095,1666.98,446.488,87.649,445.326,1550.709,741.245,933.031,585.786,1671.899,731.922,1439.465,185.217,215.244,64.649,64.649,64.649,126.649,78.649,64.649,64.649,64.649,64.649,64.649,64.649,64.649,287.623,110.649,99.595,70.487,80.568,82.649,186.379,70.73,143.271,86.649,87.649,61.73,104.487,612.382,146.649,74.649,269.462,186.812,110.595,92.487,80.568,163.595,101.514,96.622,61.73,64.649,64.649,64.649,96.649,64.649,83.649,64.649,87.649,198.109,64.649,135.406,64.649,76.649,64.649,66.649,64.649,159.649,159.785,64.649,88.001,74.649,113.649,76.811,94.649,64.649,64.649,64.649,64.649,128.947,96.649,101.649,70.487,64.649,64.649,64.649,64.649,375.866,449.029,64.649,68.541,369.974,78.271,87.649,360.083,64.649,68.541,370.974,78.271,87.649,371.083,428.056,190.595,148.325,570.327,431.001,121.649,1550.709,775.245,933.031,1513.574,17659.155,1666.98,1096.06,446.488,37,87.649,1013.438,445.326,37,87.649,11835.837,1550.709,1959.434,741.245,2133.684,933.031,1113.518,585.786,17599.533,1671.899,10615.121,731.922,12191.691,1439.465,11140.887,4652.127,1937.434,2325.735,1940.602,2799.093,128.028,2232.44,128.028,2232.44,15456.631,2621.587069,548.111,285.5788914,63,268.6057336,1063.438,559.0134465,1730.2,717.4491391,694.95,348.1172868,80,222.5748203,193.082,332.8522945,590.354,433.3993133,0,129.298,1106.464,618.7571392,957.761,585.8973039,991.761,594.9361812,4010.615,764.4872291,755.542,450.5383442,Nbclus_001,0.036509387,0.063269747,0.059241818,0.038194222,0,0.965717547,0.377820941,0.061971879
2,0.206029676,3806.529378,47340.098,7279.644,2779.28,5551.042,14412.987,16870.736,13312.556,7416.3,45317.206,18805.374,27055.216,1448.488,1466.204,448.595,43,469.886,64.853,0,82,377.725,0,134.664,171,7,62,909.393,239,573.472,357.148,181.182,85.935,1178.979,66,777.591,405.575,159.771,394.775,37.025,1919.79,20.574,50.869,715.561,201.925,80,0,27,243.85,102,31,17,445.714,494.319,368.942,240.217,426.95,237.46,352.714,366.775,692.349,476.645,420.853,91,763.629,424.656,362,207.771,569.23,555.571,335.35,330.117,655.822,343.15,322.232,224.246,437.902,509.82,434.312,99.231,805.323,405.995,362.892,397.224,372,519.816,26.45,358.935,3305.577,3806.143,53.915,431.236,1532.06,354.423,374.323,1509.052,108.015,526.239,1670.265,497.798,422.51,1647.052,2037.794,265.7,821.466,2788.405,2197.917,474.781,14412.987,17605.35,13312.556,40060.454,5664.22,2476.039,1809.78,2220.174,2841.092,3921.308,4435.446,3024.218,5400.621,1407.382,3791.246,960.275,915.626,476.384,179.308,557.456,174.374,144.308,206.308,437.29,144.308,234.151,286.308,147.308,218.308,754.159,329.308,448.732,335.21,275.26,185.21,902.861,178.308,513.915,449.533,271.784,464.083,160.108,1295.548,157.259,234.849,585.409,239.008,184.308,144.308,159.308,315.233,201.308,151.308,150.308,452.328,464.691,404.375,279.792,421.89,303.243,407.551,425.083,685.236,503.037,430.21,218.308,805.286,441.095,440.308,375.784,610.28,602.861,407.208,458.195,615.579,434.408,325.703,281.226,400.8,505.505,521.669,218.851,555.341,419.147,298.494,376.681,569.308,523.03,169.708,490.292,1746.093,1618.196,191.401,520.342,1135.477,392.396,447.588,872.067,216.576,566.934,1199.587,532.596,485.293,965.067,747.582,296.333,490.366,943.487,1239.479,489.078,2841.092,4022.462,4435.446,4609.56,47340.098,5664.22,7279.644,2476.039,2779.28,1809.78,5551.042,2220.174,2779.28,1809.78,14412.987,2841.092,16870.736,3921.308,13312.556,4435.446,7416.3,3024.218,45317.206,5400.621,18805.374,1407.382,27055.216,3791.246,13710.212,8523.276,14672.259,12067.386,9873.653,13306.338,204.875,12380.195,204.875,12380.195,32948.734,7983.992121,2914.692,1346.353706,1860.723,1188.722969,7189.544,2199.676939,2743.819,1514.68135,702.775,592.1900067,2933.091,1250.449238,3438.903,1632.931287,6788.417,2034.642111,1277.201,1069.448071,7111.72,2449.498964,4255.009,1818.78449,4871.879,1999.850786,5913.365,1369.465577,2672.698,1353.439624,Nbclus_002,0.50067717,0.163653073,0.258809599,0.206029676,0.179591013,0.873381502,0.314450805,0.098786792
3,0.135080899,2073.162548,12426.726,955.891,236.96,833.554,4977.447,5435.041,1241.573,1765.381,10171.658,4772.426,6912.669,159.418,324.851,43.965,0,55.114,15.147,0,0,50.123,16,35.664,16,0,2.816,189.699,14.355,137.864,12.852,40.386,19.393,200.482,10.44,37.764,6.993,14.229,25.641,17.871,441.427,6.426,47.131,259.81,94.032,47.355,0,0,77.411,10.44,0,1,56.677,55.905,36.338,69.103,77.562,41.895,31.182,28.457,73.211,58.188,15.147,0,97.915,7.344,0,14.229,53.994,72.741,89.919,35.333,161.551,87.442,102.545,29.063,40.098,37.795,24.688,53.682,59.022,61.535,127.484,61.673,0,38.8,10.878,18.065,1265.081,2073.109,50.397,183.564,289.654,220.113,260.733,390.908,59.721,271.209,325.777,307.788,270.162,395.693,511.988,50.949,151.674,1369.609,242.324,147.709,4977.447,5567.979,1241.573,11470.835,1171.226,305.196,230.787,297.91,840.949,980.194,634.092,721.669,936.793,353.983,846.431,127.089,149.018,82.775,41.387,67.239,53.321,41.387,41.387,87.205,50.387,58.16,50.387,41.387,43.051,136.826,55.307,121.923,51.485,70.147,54.173,125.224,53.132,63.785,46.826,57.911,67.028,53.819,254.897,46.436,76.846,244.429,91.11,77.307,41.387,41.387,85.968,53.132,41.387,28.387,96.04,72.66,63.928,84.631,96.989,67.457,64.376,68.692,94.923,74.036,51.485,41.387,91.89,44.6,41.387,57.911,83.975,100.722,109.338,67.667,125.954,91.551,131.79,57.24,66.895,71.675,55.026,100.178,95.382,75.227,106.038,60.113,41.387,61.617,47.603,39.403,467.204,560.027,81.47,128.369,208.46,123.531,232.267,269.804,82.247,161.489,216.158,177.609,234.562,271.109,200.222,73.332,107.767,339.899,168.728,154.692,840.949,947.656,634.092,1088.415,12426.726,1171.226,955.891,305.196,236.96,230.787,833.554,297.91,236.96,230.787,4977.447,840.949,5435.041,980.194,1241.573,634.092,1765.381,721.669,10171.658,936.793,4772.426,353.983,6912.669,846.431,4747.209,2522.847,5170.86,2842.968,975.539,1902.276,62.5,1525.98,62.5,1525.98,8132.645,1885.19008,484.269,198.2965002,234.829,206.1449579,944.927,365.5355157,772.665,373.3413444,230.238,180.1565199,397.119,237.5655679,266.034,196.8757059,1098.565,409.9615581,67.743,101.5251984,3338.19,748.6279564,1395.369,499.9342682,1630.35,552.6484917,2084.22,425.0704896,390.033,236.7273303,Nbclus_003,0.284276724,0.173558824,0.248515494,0.135080899,0.020293333,0.855870825,0.436721282,0.056422924
4,0.024501425,3937.012052,19489,2118,245,2100,16165,508,1069,1701,14437,6753,8872,327,837,0,0,0,10,8,0,0,0,7,0,0,0,558,37,243,93,53,117,606,25,137,89,25,92,133,1211,17,29,357,428,184,118,157,558,118,95,92,0,0,0,0,0,0,0,0,88,0,56,10,19,13,0,0,1,7,0,0,12,66,0,38,0,0,0,33,68,16,0,17,0,12,0,23,2904,3937,181,230,189,394,256,665,196,260,203,420,269,699,1874,41,179,1703,246,48,16165,542,1069,17371,2289,701,219,685,2287,301,572,764,1662,486,1580,194,371,62,62,62,66,61,62,62,62,59,62,62,62,280,78,177,141,100,137,369,77,149,136,70,135,194,565,73,80,299,251,165,126,177,363,132,143,135,62,62,62,62,62,62,62,62,108,62,107,61,73,72,62,62,53,61,62,62,68,123,62,103,62,62,62,89,132,68,62,71,62,65,62,71,873,1242,203,241,190,307,246,506,208,272,197,326,254,510,443,71,153,394,217,75,2287,309,572,2022,19489,2289,2118,701,245,219,2100,685,245,219,16165,2287,508,301,1069,572,1701,764,14437,1662,6753,486,8872,1580,14415,6861,542,927,883,1716,182,3505,182,3505,10530,3502.206733,1164,434.7643667,25,214.9831074,2100,686.5349752,1747,704.8486466,1750,594.1430448,0,175.3624817,186,245.8070808,258,337.8617196,35,130.6380112,6841,1546.629311,1915,848.5882187,2047,883.2631598,3797,625.2620072,294,233.8425849,Nbclus_004,0.116666667,0.117822262,0.011904762,0.024501425,0.005116211,0.935515388,0.562268621,0.033137962
5,0.026052803,5147.196443,16436.137,304.253,11.74,238.991,11087.468,1463.557,1149.221,2592.273,10300.15,6904.176,6985.697,49.459,119.05,8.805,0,0,0,0,0,16,0,0,0,0,0,68.939,0,20.545,12.327,0,31.74,74.765,0,21.132,0,0,0,52.155,2217.015,0,61,405.721,46.633,20.545,12.327,18.74,60.025,21.132,0,19,8.805,0,0,20,0,0,0,0,0,0,0,0,11.74,0,0,0,0,0,53,0,3.522,0,21,38.501,0,0,0,26.415,13,3.522,26.501,5.87,0,1.174,0,15,3640.722,5147.192,121,362.675,493.551,312,477.853,415.486,130,367.675,519.551,331,523.853,453.27,500.192,15.849,38.067,1475.256,104.157,107.287,11087.468,1509.71,1149.221,16131.884,1841.898,185.767,55.958,147.463,1497.003,502.811,518.054,827.534,1193.55,587.339,1060.261,77.459,110.765,50.088,46.566,46.566,46.566,46.566,46.566,54.566,46.566,46.566,46.566,46.566,46.566,80.916,46.566,67.698,45.392,46.566,48.958,93.373,46.566,51.849,46.566,46.566,46.566,71.937,759.84,46.566,96.566,274.264,63.893,67.698,45.392,52.958,85.09,51.849,46.566,63.566,50.088,46.566,46.566,39.566,46.566,46.566,46.566,46.566,46.566,46.566,46.566,46.566,54.197,46.566,46.566,46.566,46.566,46.566,72.566,46.566,44.805,46.566,62.566,53.631,46.566,46.566,46.566,77.09,47.566,43.631,70.111,46.566,46.566,38.348,46.566,51.566,929.645,1254.465,129.566,256.436,301.788,190.566,252.679,224.482,136.566,255.436,308.788,190.566,277.679,234.287,206.333,58.306,65.067,373.335,94.742,138.962,1497.003,516.811,518.054,1813.005,16436.137,1841.898,304.253,185.767,11.74,55.958,238.991,147.463,11.74,55.958,11087.468,1497.003,1463.557,502.811,1149.221,518.054,2592.273,827.534,10300.15,1193.55,6904.176,587.339,6985.697,1060.261,10889.066,4491.009,1480.905,1550.433,1137.481,1554.162,65.306,928.835,65.306,928.835,7343.97,3140.216774,168.509,135.7101268,24.805,165.2383537,254.253,268.2489195,2735.891,824.913425,198.402,179.0133335,28.805,131.0933066,11.74,135.1792351,191.331,227.5059499,16.174,93.19359956,8787.914,1589.088753,2182.565,597.4689798,2325.349,617.02531,2029.364,441.5446808,211.444,169.3903281,Nbclus_005,0.049123189,0.251673325,0.097560304,0.026052803,0.001840482,0.938596744,0.293932831,0.030268132
6,0.034881972,1405.574225,19952.788,976.114,131.66,902.833,14599.281,1659.592,1477.54,2130.206,19602.011,12659.095,14501.551,171.872,354.923,6.195,0,75,0,0,0,0,0,0,0,0,0,264.082,18.645,173.368,27.132,12.516,12.342,256.518,19.722,57.36,7.854,18.84,0.162,97.589,1672.434,3.454,18.048,424.85,187.505,76.333,55.132,12.612,176.455,48.076,5.832,0.162,31.18,38,39,17,0,18.645,8.14,0,34.54,58.295,0.378,16.246,41.712,0,0,16.956,11.618,10.611,116.279,25.598,16.795,31.696,27.176,25.32,13.2,21.385,33.062,29.32,68.05,90.402,43.685,15.216,5,4.826,0,15.362,960.454,1405.548,14,69.042,530.772,0.513,119.147,817.276,14,73.222,547.772,8.423,130.147,866.219,968.12,51.169,73.922,3091.677,453.864,192.323,14599.281,1713.529,1477.54,18976.674,1893.352,461.086,162.86,470.287,1734.195,728.974,761.817,837.987,1857.269,781.236,1682.819,171.356,300.733,82.65,80.172,149.172,80.172,80.172,80.172,80.172,80.172,80.172,80.172,80.172,80.172,265.418,98.252,209.274,75.508,95.639,89.292,235.195,93.346,97.902,85.136,98.384,80.091,132.403,818.269,81.428,87.65,371.41,232.607,135.234,108.508,89.373,177.21,97.279,73.083,80.091,99.045,108.172,94.172,61.172,80.172,93.167,86.332,80.172,114.712,138.122,80.415,73.558,113.168,80.172,80.172,98.698,94.302,87.356,196.959,91.685,90.111,94.972,99.852,94.43,96.672,95.687,92.988,111.818,135.222,136.748,108.382,85.419,60.172,52.39,80.172,86.906,599.92,716.491,85.172,131.19,444.103,80.55,151.059,519.256,85.172,135.81,449.103,86.2,161.059,531.146,437.965,120.436,99.605,712.792,339.346,264.181,1734.195,734.114,761.817,1744.578,19952.788,1893.352,976.114,461.086,131.66,162.86,902.833,470.287,131.66,162.86,14599.281,1734.195,1659.592,728.974,1477.54,761.817,2130.206,837.987,19602.011,1857.269,12659.095,781.236,14501.551,1682.819,14037.174,5202.585,1561.564,2202.342,1309.413,2285.451,93.915,2305.43,93.915,2305.43,16610.672,3021.697734,526.795,369.7220218,81.195,326.1565736,949.736,636.997294,2216.375,940.0927287,562.107,402.2585993,151.965,271.5191465,168.127,311.6913505,579.413,504.1718958,25.188,148.8601237,2366.002,980.8663759,1550.75,774.6528556,1639.783,791.4400615,4184.888,857.3837486,646.187,453.0788584,Nbclus_006,0.145829849,0.10867283,0.085492179,0.034881972,0.010645807,0.945704401,0.330583505,0.044559854
7,0.134650595,841.3911191,17537.11,1467.167,450.893,1318.074,8396.852,5012.472,2810.174,2206.255,17455.569,9791.261,11523.916,193.483,274.567,26.105,1.263,87.208,5.139,0,15.074,44.894,4.568,69,9,3.997,19.184,158.882,22.276,217.966,59.515,44.396,50.672,238.169,51.269,179.451,91.62,23.276,22.753,13.211,863.55,0,5.872,434.979,47.048,20.28,0,0,79.457,27.683,0,0,99.664,110.444,136.915,77.367,90.729,114.044,82.969,51.509,7.999,84.624,41.104,15.074,69.493,136.878,60.464,0,180.672,141.965,151.383,108.388,134.359,216.726,176.492,65.448,200.544,27,68.444,28.631,119.583,131.585,70.752,128.674,42.179,162.31,32.739,10,742.161,841.058,20.636,16.58,323.535,38.464,42.567,550.535,117.524,31.4,349.053,47.726,69.697,574.776,702.774,16.464,120.612,2363.687,410.878,142.762,8396.852,5026.512,2810.174,16069.943,1862.263,642.477,316.526,638.615,1301.416,1226.658,1251.565,1171.576,1867.562,663.897,1345.877,206.163,234.884,105.115,80.01,166.002,78.055,77.484,75.484,119.273,77.484,132.484,78.484,77.484,88.82,149.54,86.888,268.816,128.492,103.318,125.796,253.51,114.277,214.372,153.819,91.154,89.717,79.044,444.985,77.484,74.548,394.991,88.85,95.424,77.484,77.484,118.729,99.167,77.484,77.484,128.408,170.823,174.262,153.204,149.757,156.936,127.161,105.016,84.22,165.148,120.056,75.484,138.983,206.288,121.485,77.484,215.637,220.544,195.507,166.315,166.633,273.799,210.483,117.192,254.887,104.484,140.275,87.029,180.789,169.917,107.001,151.654,90.208,209.569,109.791,80.484,547.985,512.94,82.623,76.704,325.864,114.46,121.424,417.548,192.723,93.084,330.495,119.933,140.412,421.848,328.967,83.46,113.568,620.448,297.092,173.476,1301.416,1226.658,1251.565,1581.431,17537.11,1862.263,1467.167,642.477,450.893,316.526,1318.074,638.615,450.893,316.526,8396.852,1301.416,5012.472,1226.658,2810.174,1251.565,2206.255,1171.576,17455.569,1867.562,9791.261,663.897,11523.916,1345.877,8222.384,3904.248,4262.871,3679.974,2394.538,3754.695,113.422,3212.385,113.422,3212.385,14486.724,2739.118841,468.05,317.6749295,285.432,372.2363387,1445.677,717.0120953,1317.612,648.2134924,174.468,262.7033415,763.641,467.0063307,415.636,397.284084,1950.646,817.02119,247.228,274.3350659,1583.219,775.4666747,992.317,594.3458416,1190.176,665.2323776,3203.537,730.6834894,553.64,371.3605703,Nbclus_007,0.342084739,0.126392614,0.197438294,0.134650595,0.156155276,0.83375652,0.327183291,0.048042697
8,0.144109368,1426.523394,17353.386,1686.887,832.715,1486.332,7175.936,6156.344,1941.244,3126.731,16732.953,9366.955,10201.044,347.409,416.133,193.895,30.737,72.792,3.861,0,2.926,83.106,3.432,36,0,3.003,28,210.758,3.724,133.042,65.485,73.358,59.918,275.783,55.731,108.809,102.526,84.884,34.247,37.369,1694.648,7.546,58.08,282.219,22.652,0,10,8.918,48.043,13.317,7.546,0,348,100.948,121.421,70.305,229.271,137.956,84.891,84.675,11.001,25.376,14.896,29.68,54.575,47.122,32.536,37.044,103.71,80.261,98.053,57.492,115.311,276.122,97.916,113.422,26.256,1,102.494,74.369,122.927,230.993,170.302,237.87,36.821,134.594,36.261,142.638,996.927,1426.172,23.364,64,397.509,36,50.433,830.587,58.476,95,495.991,85.738,103.303,858.834,655.312,10,40.844,1754.855,277.982,83.746,7175.936,6210.214,1941.244,15666.499,2130.173,739.243,489.36,712.001,1174.46,1588.042,977.403,1139.79,2002.258,786.105,1256.349,281.185,354.09,210.179,117.284,144.292,79.239,78.81,78.81,146.021,78.81,123.81,78.81,78.81,105.81,238.694,80.406,170.426,129.802,140.59,126.298,281.578,125.017,172.282,192.511,146.928,100.577,110.81,724.999,81.554,121.268,258.627,77.904,78.81,82.81,84.298,105.023,92.127,82.926,78.81,258.81,141.863,160.136,141.402,238.537,187.358,165.973,142.614,88.074,106.146,94.238,112.424,114.379,119.006,102.809,119.284,162.527,139.43,167.805,118.371,174.541,285.855,168.739,162.008,102.907,68.81,150.203,136.265,184.353,225.049,179.605,201.976,102.086,208.629,107.503,196.076,625.607,720.932,95.671,144.81,310.494,103.81,110.87,497.552,135.571,163.81,383.863,150.337,166.882,515.252,337.283,81.81,106.654,564.048,229.892,143.85,1174.46,1594.902,977.403,1761.413,17353.386,2130.173,1686.887,739.243,832.715,489.36,1486.332,712.001,832.715,489.36,7175.936,1174.46,6156.344,1588.042,1941.244,977.403,3126.731,1139.79,16732.953,2002.258,9366.955,786.105,10201.044,1256.349,7065.46,3523.38,5032.747,4784.706,1689.014,2932.209,146.714,3696.215,146.714,3696.215,13243.4,3050.856809,763.542,473.940745,457.752,446.7815497,1666.017,822.4794438,2079.862,814.5123272,110.476,247.1399204,1177.467,593.8195557,252.23,334.1719758,1908.498,773.7259453,350.314,368.1664029,2423.099,978.1742618,1401.893,666.9735191,1697.342,770.6703823,2461.011,676.6472459,361.728,285.8391864,Nbclus_008,0.560248316,0.186860681,0.274758301,0.144109368,0.144572715,0.825934314,0.2627333,0.0354599
9,0.067815973,571.2265306,11819,1129,672,930,4379,5625,708,1517,11713,7074,7005,25,231,59,0,110,0,45,0,18,0,53,13,56,7,54,13,276,30,16,139,125,0,17,75,19,0,44,787,0,0,276,11,0,0,4,46,0,0,0,59,283,146,187,67,63,95,82,8,0,0,0,18,0,0,0,0,60,54,29,23,32,13,14,0,0,5,76,76,132,57,82,27,30,8,46,490,571,34,80,148,0,73,383,48,98,152,0,73,383,616,50,119,2273,405,114,4379,5698,708,10690,1308,516,448,518,814,991,450,693,1297,543,1039,77,199,107,52,127,52,97,52,68,52,83,60,110,53,101,63,293,65,66,184,159,52,66,110,69,52,97,501,52,52,254,56,52,52,51,95,52,52,52,107,241,134,187,105,92,111,128,54,52,52,52,69,52,52,52,52,93,100,85,68,59,47,51,52,52,48,125,123,120,94,100,70,73,54,79,306,292,92,132,154,52,120,244,95,142,157,52,120,244,290,85,146,529,258,133,814,988,450,1094,11819,1308,1129,516,672,448,930,518,672,448,4379,814,5625,991,708,450,1517,693,11713,1297,7074,543,7005,1039,4318,2442,4716,2964,682,1350,60,2580,60,2580,9629,1894.863583,256,215.1715153,361,304.6025358,1125,564.7930797,1107,600.1410069,61,172.5615527,982,458.4456935,26,156.7023262,653,369.0528372,111,148.2795058,1061,440.6363362,718,375.8127138,754,386.1548886,3058,635.3851619,519,301.0053035,Nbclus_009,0.722580645,0.129514215,0.320888889,0.067815973,0.104618285,0.952254642,0.432287249,0.074089936
10,0.036023437,327.6250394,14824.424,3402.652,222.254,3364.652,11327.21,1681.462,791.95,839.408,14613.628,5932.632,6702.278,411.192,603.07,0,0,12.466,0,12,6,42,0,5.962,0,0,0,449.406,186,574.162,220.322,98.718,144.092,522.856,76,590.094,272.222,112.932,77.42,25,581.028,0,31,386.774,354.52,389.108,348.452,187.81,463.428,365.55,382.94,158.352,13.008,56,56,30,29.878,10.84,43,0,0,0,47,37,23.046,26.336,29,32,0.542,0,0,0,0,57,9,19,0,40,10,0,33,64.718,79.184,73.382,0,7.588,0,12,383.782,327.574,36,34.802,160.734,85.046,63.42,86.062,36,34.802,169.406,99.046,63.42,107.108,3020.63,64.588,245.514,1027.488,297.856,67.756,11327.21,1693.462,791.95,11421.772,1053.608,545.468,234.948,548.468,1013.684,730.002,592.04,491.162,1055.608,351.88,780.752,224.184,246.184,51.046,51.046,62.97,51.046,53.046,47.046,86.046,51.046,53.756,51.046,51.046,51.046,235.146,136.046,256.146,172.154,118.886,124.26,269.306,85.046,219.36,175.26,122.146,79.13,68.046,297.994,51.046,88.046,246.75,212.642,212.268,189.23,139.932,244.886,177.176,204.474,123.482,64.054,99.046,99.046,75.046,77.214,60.26,99.046,51.046,51.046,51.046,87.046,83.046,61.382,57.13,65.046,76.046,45.626,51.046,51.046,51.046,51.046,149.046,53.046,59.046,51.046,83.046,55.046,51.046,70.046,119.848,112.642,105.97,51.046,55.382,51.046,41.046,240.658,198.062,62.046,75.054,172.894,91.84,112.214,96.352,62.046,75.054,176.688,93.84,112.214,101.726,372.872,86.924,166.154,337.788,228.184,90.382,1013.684,729.002,592.04,803.134,14824.424,1053.608,3402.652,545.468,222.254,234.948,3364.652,548.468,222.254,234.948,11327.21,1013.684,1681.462,730.002,791.95,592.04,839.408,491.162,14613.628,1055.608,5932.632,351.88,6702.278,780.752,8677.05,3041.052,1454.736,2187.006,597.568,1776.12,319.384,2727.34,319.384,2727.34,10710.416,1391.068893,1014.262,339.4357997,78.428,203.3325201,3402.652,668.7146547,1023.802,433.5541367,2650.16,562.3632381,238.726,246.7976756,194.382,203.339447,385.826,348.5715704,19.588,101.4036013,711.356,338.3121692,466.064,305.3826222,509.782,309.6490529,4358.22,540.4999941,365.612,248.9895741,Nbclus_010,0.066055568,0.057440083,0.023049081,0.036023437,0.027536142,0.914241774,0.734618294,0.054550408
