code,name,enroll_val,math_perc,reading_perc,tanfsnap_perc,isa_perc,grad_perc,lat,long
202,Aiton ES,262,0.125,0.178571429,0.809160305,0.92,,38.895044,-76.933994
203,Amidon Bowen  ES,345,0.309734513,0.247787611,0.736231884,0.92,,38.879286,-77.018883
204,Bancroft ES,508,0.561728395,0.302469136,0.356299213,0.96,,38.933974,-77.04055344
205,Barnard ES,602,0.511494253,0.568965517,0.468438538,0.95,,38.94823095,-77.01777708
206,Beers ES,438,0.342105263,0.407894737,0.554794521,0.95,,38.86298,-76.956551
212,Brent ES,368,0.759259259,0.768518519,0.0625,0.96,,38.884799,-77.00145985
213,Brightwood EC,639,0.485294118,0.334558824,0.472613459,0.95,,38.960218,-77.030264
220,Burroughs EC,297,0.426229508,0.475409836,0.511784512,0.95,,38.933213,-76.97845637
221,Burrville ES,360,0.306930693,0.297029703,0.677777778,0.92,,38.900524,-76.924866
224,Cleveland ES,308,0.677083333,0.6875,0.444805195,0.95,,38.915208,-77.022871
227,H D Cooke ES,400,0.388888889,0.341269841,0.535,0.93,,38.923918,-77.038972
231,Drew ES,201,0.469387755,0.346938776,0.815920398,0.91,,38.89581,-76.919148
232,Eaton ES,475,0.870813397,0.861244019,0.054736842,0.97,,38.932541,-77.066384
238,Garfield ES,284,0.238636364,0.170454545,0.820422535,0.96,,38.851295,-76.972202
239,Garrison ES,244,0.233766234,0.246753247,0.471311475,0.92,,38.914088,-77.02962
246,Hardy MS,386,0.714697406,0.65129683,0.248704663,0.97,,38.916586,-77.069334
247,C W  Harris ES,291,0.115384615,0.115384615,0.773195876,0.9,,38.883736,-76.926439
249,Hendley ES,503,0.216748768,0.128078818,0.89860835,0.94,,38.829131,-76.998693
251,Houston ES,279,0.268292683,0.195121951,0.745519713,0.92,,38.906067,-76.929634
252,Hyde Addison ES,305,0.766423358,0.788321168,0.078688525,0.96,,38.907906,-77.064614
254,Janney ES,693,0.891129032,0.911290323,.,0.97,,38.947839,-77.080688
257,Ketcham ES,309,0.488095238,0.345238095,0.841423948,0.92,,38.865734,-76.983478
258,Hearst ES,291,0.764705882,0.676470588,0.130584192,0.96,,38.938649,-77.072495
259,Kimball ES,348,0.396694215,0.239669421,0.764367816,0.91,,38.883195,-76.957696
261,Lafayette ES,697,0.908783784,0.878787879,0.027259684,0.96,,38.966727,-77.068816
262,Langdon EC,340,0.407407407,0.470588235,0.558823529,0.93,,38.924585,-76.977544
264,LaSalle Backus EC,349,0.248484848,0.303030303,0.512893983,0.93,,38.961027,-76.998672
265,Mamie D Lee School,56,0.941176471,1,0.517857143,0.91,,38.952308,-77.006902
266,Leckie ES,478,0.587628866,0.515463918,0.466527197,0.98,,38.827798,-77.012587
271,Ludlow Taylor ES,340,0.796875,0.765625,0.320588235,0.93,,38.898834,-76.997461
272,Key ES,383,0.878980892,0.878980892,0.031331593,0.96,,38.925661,-77.100657
273,Mann ES,302,0.936842105,0.904255319,.,0.97,,38.934482,-77.088039
274,Maury ES,366,0.685714286,0.685714286,0.12568306,0.98,,38.892085,-76.988612
280,Miner ES,398,0.279069767,0.255813953,0.728643216,0.94,,38.897377,-76.983572
284,Marie Reed ES,393,0.590909091,0.550458716,0.358778626,0.94,,38.918042,-77.041585
285,Moten ES,395,0.177777778,0.155555556,0.873417722,0.91,,38.857155,-76.985329
287,Murch ES,620,0.843137255,0.862745098,0.029032258,0.98,,38.952241,-77.069919
288,Nalle ES,384,0.519379845,0.302325581,0.763020833,0.93,,38.886248,-76.930535
290,Noyes EC,289,0.272727273,0.311688312,0.629757785,0.94,,38.924402,-76.992351
291,Orr ES,384,0.356435644,0.326732673,0.765625,0.94,,38.87222,-76.973227
292,Oyster Adams Bilingual School (Oyster),650,0.795918367,0.797953964,0.083076923,0.96,,38.92359583,-77.05720337
294,Patterson ES,380,0.142857143,0.196428571,0.847368421,0.89,,38.826996,-77.008702
295,Payne ES,277,0.307692308,0.358974359,0.584837545,0.91,,38.88528,-76.984431
296,Bruce Monroe ES at Park View,465,0.450704225,0.281690141,0.475268817,0.95,,38.9344141,-77.02118567
299,Plummer ES,428,0.345070423,0.33,0.808411215,0.93,,38.887045,-76.940479
300,Powell ES,446,0.581196581,0.487179487,0.414798206,0.96,,38.941864,-77.029704
302,Raymond EC,581,0.567567568,0.463963964,0.528399312,0.96,,38.935639,-77.027007
305,Ross ES,166,0.92,0.9,.,0.97,,38.912532,-77.039351
307,Savoy ES,408,0.307189542,0.261437908,0.81372549,0.91,,38.864168,-76.991756
308,Malcolm X ES at Green,244,0.258064516,0.193548387,0.844262295,0.89,,38.844994,-76.986483
309,Seaton ES,295,0.691358025,0.50617284,0.494915254,0.95,,38.910897,-77.025918
312,Sharpe Health School,60,0.789473684,0.842105263,0.516666667,0.83,0.909090909,38.941864,-77.029704
313,Shepherd ES,318,0.759124088,0.729927007,0.185534591,0.97,,38.985092,-77.033411
315,Simon ES,293,0.330275229,0.23853211,0.774744027,0.94,,38.837554,-76.998431
316,Randle Highlands ES,360,0.369369369,0.414414414,0.633333333,0.91,,38.870121,-76.964699
319,Stanton ES,578,0.378378378,0.283783784,0.866782007,0.91,,38.85796,-76.967919
321,Stoddert ES,418,0.862903226,0.852459016,0.040669856,0.95,,38.922549,-77.079759
322,Smothers ES,275,0.301075269,0.23655914,0.730909091,0.93,,38.893246,-76.937754
324,Takoma EC,442,0.418719212,0.387254902,0.42760181,0.95,,38.975174,-77.02159
325,Thomas ES,408,0.344,0.373015873,0.715686275,0.91,,38.900768,-76.952139
326,Thomson ES,272,0.711340206,0.597938144,0.444852941,0.97,,38.903737,-77.029626
327,Truesdell EC,526,0.669950739,0.42364532,0.551330798,0.93,,38.954139,-77.025655
328,Tubman ES,498,0.55952381,0.482142857,0.602409639,0.93,,38.929657,-77.029709
329,Turner ES,392,0.161073826,0.209459459,0.849489796,0.93,,38.841622,-76.98257
330,Tyler ES,522,0.302521008,0.487394958,0.457854406,0.96,,38.881267,-76.991532
332,Walker Jones EC,465,0.298076923,0.254807692,0.741935484,0.89,,38.903993,-77.014199
333,Watkins ES Capitol Hill Cluster,500,0.658959538,0.569364162,0.196,0.96,,38.88361,-76.990171
335,Wheatley EC,463,0.434042553,0.310638298,0.784017279,0.91,,38.904559,-76.98892
336,West EC,267,0.681034483,0.560344828,0.419475655,0.95,,38.950725,-77.032066
338,Whittier EC,350,0.538860104,0.424870466,0.597142857,0.92,,38.96554,-77.019899
339,J O Wilson ES,466,0.511811024,0.496062992,0.497854077,0.94,,38.902587,-76.99725
344,"King, M L ES",372,0.25,0.317567568,0.879032258,0.95,,38.841878,-76.998448
346,Brookland EC at Bunker Hill,225,0.333333333,0.382978723,0.475555556,0.93,,38.942553,-76.983674
360,Capitol Hill Montessori School at Logan,310,0.509803922,0.725490196,0.080645161,0.94,,38.898839,-77.002244
370,Langley EC,289,0.25,0.2625,0.640138408,0.91,,38.915568,-77.003507
402,Benjamin Banneker HS,449,0.988636364,0.977272727,0.222717149,0.94,1,38.924017,-77.023517
404,Browne EC,353,0.308139535,0.261627907,0.677053824,0.9,,38.901892,-76.970305
405,Deal MS,1312,0.880756579,0.839108911,0.072408537,0.94,,38.952408,-77.074124
407,Eliot Hine MS,257,0.386524823,0.34519573,0.618677043,0.88,,38.892084,-76.978874
409,School Without Walls at Francis Stevens,414,0.577464789,0.535211268,0.256038647,0.95,,38.907315,-77.052956
413,Hart MS,479,0.249492901,0.237322515,0.814196242,0.89,,38.838331,-76.996479
416,Johnson  John Hayden MS,291,0.208,0.278225806,0.776632302,0.87,,38.850193,-76.984302
417,Kramer MS,333,0.240853659,0.224242424,0.801801802,0.92,,38.870743,-76.979906
421,Kelly Miller MS,546,0.581589958,0.345188285,0.697802198,0.9,,38.89402,-76.932904
427,Sousa MS,284,0.449640288,0.402135231,0.732394366,0.88,,38.883704,-76.954698
428,Stuart Hobson MS (Capitol Hill Cluster),423,0.535626536,0.609336609,0.338061466,0.93,,38.896195,-77.000325
433,Jefferson Middle School Academy,277,0.554385965,0.447552448,0.63898917,0.87,,38.879792,-77.021977
435,Mckinley Middle School,202,0.304597701,0.375722543,0.579207921,0.93,,38.91522012,-77.00412244
442,Columbia Heights EC (CHEC),1384,0.5651341,0.436781609,0.347543353,0.87,0.836363636,38.929165,-77.036473
450,Anacostia HS,661,0.223880597,0.192592593,0.71709531,0.58,0.385135135,38.87105,-76.982299
452,Ballou HS,755,0.162921348,0.151685393,0.713907285,0.63,0.5,38.83629,-77.000759
454,Cardozo EC,781,0.307086614,0.299610895,0.390524968,0.72,0.411111111,38.923315,-77.026962
455,Coolidge HS,395,0.333333333,0.366666667,0.473417722,0.81,0.511627907,38.966599,-77.019821
457,Eastern HS,1025,0.403755869,0.422535211,0.570731707,0.76,.,38.8898,-76.978991
458,McKinley Technology HS,645,0.930232558,0.872093023,0.317829457,0.94,0.951048951,38.915488,-77.00429
459,Roosevelt HS at MacFarland,476,0.155844156,0.157894737,0.384453782,0.72,0.624390244,38.945062,-77.029703
463,Wilson HS,1788,0.687817259,0.704545455,0.152684564,0.82,0.760348584,38.950653,-77.077994
464,Woodson H D HS,639,0.23125,0.16875,0.636932707,0.65,0.602739726,38.896657,-76.921968
466,School Without Walls HS,590,0.972413793,0.993103448,0.079661017,0.87,0.959016393,38.898248,-77.048244
467,Dunbar HS,653,0.244186047,0.416666667,0.603369066,0.66,0.548,38.908574,-77.015908
471,Ellington School of the Arts,523,0.734693878,0.761904762,0.212237094,0.87,0.926229508,38.913612,-77.071114
474,Washington Metropolitan HS (formerly YEA),244,0.08,0.16,0.713114754,0.52,0.382352941,38.920437,-77.016776
478,Phelps Architecture Construction and Engineering HS,323,0.357142857,0.514285714,0.393188854,0.87,0.955882353,38.900343,-76.970306
884,Luke Moore Alternative HS,350,0.129032258,0.193548387,0.611428571,0.48,0.37007874,38.932537,-76.990997
