code,name,enroll_val,math_perc,reading_perc,tanfsnap_perc,isa_perc,grad_perc,lat,long,
202,Aiton ES,251,0.185,0.123,0.809160305,,NA,38.895044,-76.933994,
203,Amidon Bowen  ES,350,0.055,0.103,0.736231884,,,38.879286,-77.018883,
204,Bancroft ES at Sharpe,530,0.284,0.268,0.356299213,,,38.933974,-77.04055344,
205,Barnard ES,649,0.338,0.417,0.468438538,,,38.94823095,-77.01777708,
206,Beers ES,464,0.211,0.259,0.554794521,,,38.86298,-76.956551,
212,Brent ES,404,0.607,0.643,0.0625,,,38.884799,-77.00145985,
213,Brightwood EC,755,0.275,0.176,0.472613459,,,38.960218,-77.030264,
220,Burroughs EC,290,0.229,0.157,0.511784512,,,38.933213,-76.97845637,
221,Burrville ES,325,0.149,0.138,0.677777778,,,38.900524,-76.924866,
224,Cleveland ES,321,0.284,0.259,0.444805195,,,38.915208,-77.022871,
227,H D Cooke ES,420,0.414,0.191,0.535,,,38.923918,-77.038972,
231,Drew ES,253,0.094,0.156,0.815920398,,,38.89581,-76.919148,
232,Eaton ES,477,0.7,0.71,0.054736842,,,38.932541,-77.066384,
238,Garfield ES,301,0.197,0.231,0.820422535,,,38.851295,-76.972202,
239,Garrison ES,253,0.154,0.121,0.471311475,,,38.914088,-77.02962,
246,Hardy MS,374,0.238,0.445,0.248704663,,,38.916586,-77.069334,
247,C W  Harris ES,285,0.074,0.058,0.773195876,,,38.883736,-76.926439,
249,Hendley ES,445,0.035,0.04,0.89860835,,,38.829131,-76.998693,
251,Houston ES,299,0.131,0.103,0.745519713,,,38.906067,-76.929634,
252,Hyde Addison ES,329,0.614,0.593,0.078688525,,,38.907906,-77.064614,
254,Janney ES,722,0.803,0.852,.,,,38.947839,-77.080688,
257,Ketcham ES,309,0.33,0.128,0.841423948,,,38.865734,-76.983478,
258,Hearst ES,312,0.611,0.667,0.130584192,,,38.938649,-77.072495,
259,Kimball ES,372,0.152,0.068,0.764367816,,,38.883195,-76.957696,
261,Lafayette ES,761,0.824,0.771,0.027259684,,,38.966727,-77.068816,
262,Langdon EC,323,0.132,0.142,0.558823529,,,38.924585,-76.977544,
264,LaSalle Backus EC,369,0.146,0.131,0.512893983,,,38.961027,-76.998672,
266,Leckie ES,552,0.147,0.279,0.466527197,,,38.827798,-77.012587,
271,Ludlow Taylor ES,373,0.415,0.613,0.320588235,,,38.898834,-76.997461,
272,Key ES,397,0.693,0.771,0.031331593,,,38.925661,-77.100657,
273,Mann ES,379,0.758,0.788,.,,,38.934482,-77.088039,
274,Maury ES,387,0.583,0.606,0.12568306,,,38.892085,-76.988612,
280,Miner ES,384,0.163,0.081,0.728643216,,,38.897377,-76.983572,
284,Marie Reed ES at MacFarland,398,0.46,0.388,0.358778626,,,38.918042,-77.041585,
285,Moten ES,405,0.091,0.07,0.873417722,,,38.857155,-76.985329,
287,Murch ES,572,0.726,0.736,0.029032258,,,38.952241,-77.069919,
288,Nalle ES,391,0.208,0.138,0.763020833,,,38.886248,-76.930535,
290,Noyes EC,197,0.242,0.121,0.629757785,,,38.924402,-76.992351,
291,Orr ES,408,0.144,0.129,0.765625,,,38.87222,-76.973227,
292,Oyster Adams Bilingual School,674,0.587,0.684,0.083076923,,,38.92359583,-77.05720337,
294,Patterson ES,394,0.136,0.098,0.847368421,,,38.826996,-77.008702,
295,Payne ES,300,0.257,0.158,0.584837545,,,38.88528,-76.984431,
296,Bruce Monroe ES at Park View,473,0.356,0.233,0.475268817,,,38.9344141,-77.02118567,
299,Plummer ES,391,0.162,0.101,0.808411215,,,38.887045,-76.940479,
300,Powell ES,534,0.374,0.149,0.414798206,,,38.941864,-77.029704,
302,Raymond EC,613,0.195,0.246,0.528399312,,,38.935639,-77.027007,
305,Ross ES,171,0.85,0.8,.,,,38.912532,-77.039351,
307,Savoy ES,315,0.1,0.145,0.81372549,,,38.864168,-76.991756,
308,Malcolm X ES at Green,237,0.1,0.062,0.844262295,,,38.844994,-76.986483,
309,Seaton ES,341,0.474,0.309,0.494915254,,,38.910897,-77.025918,
313,Shepherd ES,360,0.526,0.537,0.185534591,,,38.985092,-77.033411,
315,Simon ES,276,0.049,0.025,0.774744027,,,38.837554,-76.998431,
316,Randle Highlands ES,333,0.184,0.132,0.633333333,,,38.870121,-76.964699,
