black_18,black_18_margin,black_under_18,black_under_18_margin,bus_stops,cc_cap,cc_sub_13,children_in_poverty,children_in_poverty_denom,children_in_poverty_denom_margin,children_in_poverty_numer,children_in_poverty_numer_margin,Cluster,Cluster_ID,dental_visit,er_ast_10,fs_client_2012,grad,grocery,hispanic_18,hispanic_18_margin,hispanic_under_18,hispanic_under_18_margin,homeownership,homeownership_denom,homeownership_denom_margin,homeownership_numer,homeownership_numer_margin,libraries,math,median_family_income,median_family_income_denom,median_family_income_denom_margin,median_family_income_numer,median_family_income_numer_margin,medicaid_enroll,metro,no_hs_degree_18_24,no_hs_degree_18_24_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,other_18,other_18_margin,other_under_18,other_under_18_margin,population_black_total,population_black_total_margin,population_hisp_total,population_hisp_total_margin,population_other_total,population_other_total_margin,population_total,population_total_margin,population_under_18,population_under_18_margin,population_under_5,population_under_5_margin,population_white_total,population_white_total_margin,prev_med_visit,reading,rec,single_mother_families,single_mother_families_margin,total_neighborhood_poverty,total_neighborhood_poverty_denom,total_neighborhood_poverty_denom_margin,total_neighborhood_poverty_numer,total_neighborhood_poverty_numer_margin,vacants,violent_crimes,white_18,white_18_margin,white_under_18,white_under_18_margin,work,work_denom,work_denom_margin,work_numer,work_numer_margin,youth_ready_to_work,youth_ready_to_work_denom,youth_ready_to_work_denom_margin,youth_ready_to_work_numer,youth_ready_to_work_numer_margin
1937.434,2325.735,80,222.57482025443,45,100,238386.06,0.059241817576577,1063.438,559.013446533898,63,268.605733619364,1,Nbclus_001,710.6528848,61.28005443,1914.072495,0,3,1940.602,2799.093,193.082,332.852294475301,0.377820940524371,10615.121,731.922,4010.615,764.48722913609,0,0.680769231,0.036509386859384,1013.438,445.326,37,87.649,1324.046725,0,16563.095,3384.45435297627,0,129.298,128.028,2232.44,128.028,2232.44,1959.434,741.245,2133.684,933.031,1730.2,717.44913914628,17659.155,1666.98,1096.06,446.488,548.111,285.578891404774,11835.837,1550.709,1071.217378,0.634615385,3,37,87.649,0.063269746987036,17599.533,1671.899,1113.518,585.786,2,2,11140.887,4652.127,694.95,348.117286796173,0.061971879044507,12191.691,1439.465,755.542,450.538344202412,0.965717546868651,991.761,594.936181160936,957.761,585.897303938376
14672.259,12067.386,2933.091,1250.449237876,129,339,2480378.34,0.258809599051066,7189.544,2199.67693856444,1860.723,1188.72296905699,2,Nbclus_002,3109.218578,261.1706058,6988.42781,0.8654,3,9873.653,13306.338,3438.903,1632.93128702789,0.314450805392118,18805.374,1407.382,5913.365,1369.46557705447,1,0.582750583,0.500677170160125,5551.042,2220.174,2779.28,1809.78,5725.217496,0,38783.253,10307.2895063639,1277.201,1069.44807103253,204.875,12380.195,204.875,12380.195,16870.736,3921.308,13312.556,4435.446,2743.819,1514.68135030563,47340.098,5664.22,7279.644,2476.039,2914.692,1346.35370572675,14412.987,2841.092,4620.994573,0.52960373,4,2779.28,1809.78,0.163653072521726,45317.206,5400.621,7416.3,3024.218,38,5,13710.212,8523.276,702.775,592.190006747672,0.098786792166065,27055.216,3791.246,2672.698,1353.43962363034,0.873381502291005,4871.879,1999.85078611416,4255.009,1818.78449001627
5170.86,2842.968,397.119,237.565567870223,66,143,752066.25,0.248515493789467,944.927,365.535515746166,234.829,206.144957881745,3,Nbclus_003,459.6141117,51.71019505,1532.022312,0.54205,3,975.539,1902.276,266.034,196.875705948873,0.436721281796721,4772.426,353.983,2084.22,425.070489567136,0,0.550724638,0.284276723523611,833.554,297.91,236.96,230.787,871.7280777,2,11403.092,2433.76992773043,67.743,101.525198443447,62.5,1525.98,62.5,1525.98,5435.041,980.194,1241.573,634.092,772.665,373.341344394085,12426.726,1171.226,955.891,305.196,484.269,198.296500163841,4977.447,840.949,660.0462741,0.531400966,1,236.96,230.787,0.173558823940011,10171.658,936.793,1765.381,721.669,19,3,4747.209,2522.847,230.238,180.156519910156,0.056422924343694,6912.669,846.431,390.033,236.727330291438,0.855870825282915,1630.35,552.64849174327,1395.369,499.934268235837
542,927,0,175.362481734264,99,39,0,0.011904761904762,2100,686.534975156522,25,214.983107443931,4,Nbclus_004,35.33986149,20.19420657,98.72723211,0.95,2,883,1716,186,245.80708076491,0.562268621353473,6753,486,3797,625.262007223675,1,0.85915493,0.116666666666667,2100,685,245,219,103.7757838,0,17336,4521.32945050457,35,130.638011210656,182,3505,182,3505,508,301,1069,572,1747,704.848646613287,19489,2289,2118,701,1164,434.764366667746,16165,2287,62.82642043,0.887323944,3,245,219,0.117822262242848,14437,1662,1701,764,1,6,14415,6861,1750,594.143044839346,0.033137962128043,8872,1580,294,233.84258489587,0.935515388373229,2047,883.263159772753,1915,848.5882186883
1480.905,1550.433,28.805,131.093306622617,39,235,19464.78,0.09756030410654,254.253,268.248919519028,24.805,165.238353705036,5,Nbclus_005,7.07525786,0.8428639739,136.9475593,0.9214,2,1137.481,1554.162,11.74,135.179235061735,0.293932831376257,6904.176,587.339,2029.364,441.544680825277,1,0.666666667,0.049123188739325,238.991,147.463,11.74,55.958,42.74433212,1,16115.71,4054.00242354701,16.174,93.19359955544,65.306,928.835,65.306,928.835,1463.557,502.811,1149.221,518.054,2735.891,824.913425025216,16436.137,1841.898,304.253,185.767,168.509,135.710126824305,11087.468,1497.003,10.62777682,0.75,#N/A,11.74,55.958,0.25167332514575,10300.15,1193.55,2592.273,827.534,2,1,10889.066,4491.009,198.402,179.013333541827,0.030268132156319,6985.697,1060.261,211.444,169.39032806768,0.938596743972625,2325.349,617.025309997176,2182.565,597.46897975631
1561.564,2202.342,151.965,271.519146531394,130,294,0,0.085492178879183,949.736,636.997294033167,81.195,326.156573562399,6,Nbclus_006,532.4508869,44.01644495,1572.774426,0,1,1309.413,2285.451,168.127,311.691350470713,0.330583505376964,12659.095,781.236,4184.888,857.383748626135,0,0.725,0.145829848931087,902.833,470.287,131.66,162.86,998.4681314,4,18951.486,3900.99500005063,25.188,148.860123696454,93.915,2305.43,93.915,2305.43,1659.592,728.974,1477.54,761.817,2216.375,940.09272865586,19952.788,1893.352,976.114,461.086,526.795,369.722021772932,14599.281,1734.195,802.0656909,0.675,1,131.66,162.86,0.108672829537745,19602.011,1857.269,2130.206,837.987,3,6,14037.174,5202.585,562.107,402.258599300878,0.044559854321789,14501.551,1682.819,646.187,453.078858417126,0.945704401131125,1639.783,791.44006148409,1550.75,774.652855628411
4262.871,3679.974,763.641,467.006330669607,59,168,273269.03,0.19743829361607,1445.677,717.012095327518,285.432,372.236338731259,7,Nbclus_007,680.9021955,72.71043665,2501.599938,0,2,2394.538,3754.695,415.636,397.284084047599,0.327183291304358,9791.261,663.897,3203.537,730.683489403224,1,0.557291667,0.342084738793118,1318.074,638.615,450.893,316.526,1291.265862,1,15822.715,3536.18721772547,247.228,274.335065872991,113.422,3212.385,113.422,3212.385,5012.472,1226.658,2810.174,1251.565,1317.612,648.213492358455,17537.11,1862.263,1467.167,642.477,468.05,317.674929530631,8396.852,1301.416,978.5730632,0.470486111,1,450.893,316.526,0.126392614299769,17455.569,1867.562,2206.255,1171.576,17,5,8222.384,3904.248,174.468,262.703341497346,0.048042696597233,11523.916,1345.877,553.64,371.36057031574,0.833756520044094,1190.176,665.232377590225,992.317,594.34584158918
5032.747,4784.706,1177.467,593.819555731458,180,606,242867.74,0.274758300785646,1666.017,822.479443825843,457.752,446.78154965704,8,Nbclus_008,1110.775741,137.5255244,4308.850945,0.91,1,1689.014,2932.209,252.23,334.171975795597,0.262733300202681,9366.955,786.105,2461.011,676.647245860724,2,0.476086957,0.560248315988622,1486.332,712.001,832.715,489.36,2122.880533,6,15316.185,3938.63920445184,350.314,368.166402902841,146.714,3696.215,146.714,3696.215,6156.344,1588.042,1941.244,977.403,2079.862,814.51232724083,17353.386,2130.173,1686.887,739.243,763.542,473.940744982362,7175.936,1174.46,1551.734628,0.4,1,832.715,489.36,0.18686068143501,16732.953,2002.258,3126.731,1139.79,4,3,7065.46,3523.38,110.476,247.139920446939,0.035459899986707,10201.044,1256.349,361.728,285.839186357326,0.825934313768233,1697.342,770.670382325063,1401.893,666.97351908456
4716,2964,982,458.4456934583,93,246,197072.56,0.320888888888889,1125,564.793079736673,361,304.602535795767,9,Nbclus_009,2804.717795,92.07997715,2556.961154,0,1,682,1350,26,156.702326150964,0.432287249081142,7074,543,3058,635.385161856212,1,0.482378855,0.72258064516129,930,518,672,448,5286.316624,4,10579,2446.25836738477,111,148.279505756753,60,2580,60,2580,5625,991,708,450,1107,600.141006946705,11819,1308,1129,516,256,215.171515310271,4379,814,3254.937732,0.425110132,2,672,448,0.129514214974814,11713,1297,1517,693,4,1,4318,2442,61,172.561552692773,0.074089935760171,7005,1039,519,301.005303471027,0.952254641909814,754,386.154888638714,718,375.812713771987
1454.736,2187.006,238.726,246.79767561609,115,37,0,0.023049080540708,3402.652,668.714654718572,78.428,203.332520089862,10,Nbclus_010,52.2112389,14.42645109,142.4352701,0,2,597.568,1776.12,194.382,203.339446960763,0.73461829420736,5932.632,351.88,4358.22,540.499994149301,1,0.922958398,0.066055568302457,3364.652,548.468,222.254,234.948,108.4169914,0,11402.184,1795.86221904132,19.588,101.403601264282,319.384,2727.34,319.384,2727.34,1681.462,730.002,791.95,592.04,1023.802,433.554136665896,14824.424,1053.608,3402.652,545.468,1014.262,339.435799739676,11327.21,1013.684,83.17404038,0.915254237,2,222.254,234.948,0.057440082640669,14613.628,1055.608,839.408,491.162,2,1,8677.05,3041.052,2650.16,562.363238140804,0.054550408085132,6702.278,780.752,365.612,248.989574094617,0.914241773934741,509.782,309.649052895642,466.064,305.38262224032
