bus_stops,cc_sub_13,cc_cap,cluster,cluster_id,grocery,libraries,metro,rec,vacants,violent_crimes,dental_visit,er_ast_10,prev_med_visit,fs_client_2012
45,238386.06,100,1,Nbclus_001,3,0,0,3,2,2,710.6528848,61.28005443,1071.217378,1914.072495
129,2480378.34,339,2,Nbclus_002,3,1,0,4,38,5,3109.218578,261.1706058,4620.994573,6988.42781
66,752066.25,143,3,Nbclus_003,3,0,2,1,19,3,459.6141117,51.71019505,660.0462741,1532.022312
99,0,39,4,Nbclus_004,2,1,0,3,1,6,35.33986149,20.19420657,62.82642043,98.72723211
39,19464.78,235,5,Nbclus_005,2,1,1,#N/A,2,1,7.07525786,0.8428639739,10.62777682,136.9475593
130,0,294,6,Nbclus_006,1,0,4,1,3,6,532.4508869,44.01644495,802.0656909,1572.774426
59,273269.03,168,7,Nbclus_007,2,1,1,1,17,5,680.9021955,72.71043665,978.5730632,2501.599938
180,242867.74,606,8,Nbclus_008,1,2,6,1,4,3,1110.775741,137.5255244,1551.734628,4308.850945
93,197072.56,246,9,Nbclus_009,1,1,4,2,4,1,2804.717795,92.07997715,3254.937732,2556.961154
115,0,37,10,Nbclus_010,2,1,0,2,2,1,52.2112389,14.42645109,83.17404038,142.4352701
88,0,23,11,Nbclus_011,3,1,2,2,#N/A,3,24.78364481,10.0001167,40.28443008,68.91836008
26,0,26,12,Nbclus_012,1,0,2,#N/A,#N/A,1,29.35966812,11.94182565,43.51790047,73.54372433
83,0,36,13,Nbclus_013,1,1,0,2,1,#N/A,31.34421038,15.83654864,53.5045544,89.52396086
70,0,5,14,Nbclus_014,2,0,0,2,#N/A,#N/A,46.42814834,23.91129211,79.6672448,131.9208652
82,32831.56,70,15,Nbclus_015,1,1,2,3,2,1,39.69710788,16.55397755,59.60494075,100.6738885
42,0,0,16,Nbclus_016,0,1,0,#N/A,2,#N/A,195.1283661,23.83033207,302.7853957,547.5369238
100,420332.91,221,17,Nbclus_017,1,1,1,2,12,7,1789.934479,164.489897,2658.513244,4494.125072
159,2234298.2,385,18,Nbclus_018,2,1,1,5,39,7,3686.474135,303.3191796,5399.579,8881.675502
85,285513.5,92,19,Nbclus_019,0,1,1,2,5,1,1210.848335,103.4001005,1773.738734,2962.250919
117,688880.25,133,20,Nbclus_020,1,0,1,2,6,2,756.4957175,89.0351633,1041.26354,2129.700353
127,158348.67,196,21,Nbclus_021,0,0,0,2,46,#N/A,1257.061807,160.0969602,1688.086593,4880.541325
120,702294.85,129,22,Nbclus_022,1,1,1,2,16,6,1061.677591,104.8403616,1401.338078,3448.470777
84,188134.29,139,23,Nbclus_023,2,0,0,3,29,3,1219.311935,145.9687742,1581.976258,5448.884191
65,259132.72,4,24,Nbclus_024,0,0,0,2,14,1,636.0120346,56.18677176,835.3018341,2115.576004
112,617511.91,355,25,Nbclus_025,1,1,2,1,54,3,1844.80318,223.0570804,2392.437402,8323.787153
138,259132.72,56,26,Nbclus_026,3,1,4,1,19,6,868.3366305,99.60491705,1131.527253,3698.485072
36,14559.37,8,27,Nbclus_027,0,0,1,1,11,#N/A,140.5852614,15.66409597,183.6615253,579.9631534
42,737428.97,109,28,Nbclus_028,0,0,0,#N/A,14,1,803.3796838,81.81159335,1060.501834,2783.220243
7,33725.19,5,29,Nbclus_029,0,0,0,#N/A,3,#N/A,254.662576,23.14835968,306.8076243,826.4515557
38,19188.14,36,30,Nbclus_030,0,0,1,1,31,#N/A,1085.052769,98.62930063,1307.229619,3521.300864
90,1599503.61,251,31,Nbclus_031,0,1,1,3,59,5,1851.865425,168.3311604,2231.055857,6009.823216
84,390997.87,54,32,Nbclus_032,1,1,0,1,13,1,1981.486725,180.7363471,2393.784698,6442.959713
101,707196.76,139,33,Nbclus_033,0,1,1,2,37,#N/A,2726.715986,247.853467,3285.041983,8848.9589
89,818781.36,172,34,Nbclus_034,1,2,0,2,28,9,2894.365136,289.5600162,3766.041738,9923.313723
71,147798.24,10,35,Nbclus_035,1,0,0,1,2,#N/A,1098.226878,111.8371457,1449.71505,3804.685802
46,389770.62,100,36,Nbclus_036,0,0,0,#N/A,6,#N/A,1002.203755,102.0586999,1322.959669,3472.024293
82,521497.4,9,37,Nbclus_037,0,0,1,1,21,1,1201.669526,122.3711535,1586.26458,4163.05144
90,488781,212,38,Nbclus_038,1,1,1,1,13,1,1629.859197,166.5982959,2162.738152,5711.574027
198,3803748.71,626,39,Nbclus_039,0,1,0,4,46,5,4658.857851,483.7777447,6318.6411,17117.22045
#N/A,#N/A,#N/A,40,Nbclus_040,#N/A,#N/A,#N/A,#N/A,#N/A,1,18.33746704,2.239489509,28.45469024,51.45556484
#N/A,#N/A,#N/A,42,Nbclus_042,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.0090081041,0.0047368928,0.0152483642,0.0243664916
#N/A,#N/A,#N/A,43,Nbclus_043,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.002797574,0.3059189887,3.96621404,10.41658284
#N/A,#N/A,#N/A,44,Nbclus_044,#N/A,#N/A,#N/A,#N/A,#N/A,1,394.6516968,40.980797,535.2518819,1449.999187
#N/A,#N/A,#N/A,45,Nbclus_045,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.5909574077,0.0711986028,0.7666409122,2.65603482
