census tract,neighborhood id,portion
11001000100,4,1
11001000201,4,1
11001000202,4,1
11001000300,4,1
11001000502,15,1
11001001401,10,1
11001000701,14,1
11001000802,13,1
11001000702,14,1
11001000901,13,1
11001001402,10,1
11001002501,18,1
11001002502,18,1
11001001500,10,1
11001001600,16,1
11001001803,17,1
11001001804,17,1
11001001901,17,1
11001001902,17,1
11001002001,18,1
11001002002,18,1
11001002101,18,1
11001002201,18,1
11001002301,18,1
11001002302,21,1
11001002400,18,1
11001000902,13,1
11001001001,11,1
11001001301,12,1
11001003200,2,1
11001003301,21,1
11001003302,21,1
11001003600,2,1
11001003700,2,1
11001003800,1,1
11001004201,6,1
11001004202,6,1
11001004400,3,1
11001004600,21,1
11001004701,8,1
11001004702,8,1
11001004901,7,1
11001005001,7,1
11001005301,6,1
11001005600,5,1
11001005800,8,1
11001005900,8,1
11001007200,27,1
11001007301,44,1
11001003900,1,1
11001004001,1,1
11001004002,1,1
11001002600,18,1
11001002701,2,1
11001002702,2,1
11001002801,2,1
11001002802,2,1
11001002900,2,1
11001003000,2,1
11001003100,2,1
11001007403,38,1
11001007406,37,1
11001007407,37,1
11001007408,36,1
11001007409,38,1
11001007502,36,1
11001007503,28,1
11001007601,34,1
11001007603,35,1
11001007707,33,1
11001007708,32,1
11001007709,34,1
11001006202,45,1
11001006400,9,1
11001006500,26,1
11001006600,26,1
11001006700,26,1
11001006801,26,1
11001006802,26,1
11001006804,26,1
11001009102,22,1
11001009201,21,1
11001009203,21,1
11001009204,21,1
11001009302,22,1
11001009508,19,1
11001009509,20,1
11001009602,30,1
11001009603,32,1
11001009604,32,1
11001009700,39,1
11001009801,39,1
11001009802,39,1
11001009803,39,1
11001009804,39,1
11001009810,39,1
11001009811,39,1
11001006900,26,1
11001007000,26,1
11001007100,26,1
11001008904,23,1
11001009000,24,1
11001009504,20,1
11001009507,19,1
11001007806,31,1
11001007807,31,1
11001007809,31,1
11001007901,25,1
11001007903,25,1
11001008001,25,1
11001008301,25,1
11001008302,25,1
11001008402,25,1
11001008410,25,1
11001008701,21,1
11001008702,21,1
11001008802,23,1
11001008803,23,1
11001008804,23,1
11001008903,23,1
11001009903,33,1
11001009904,33,1
11001009905,33,1
11001009906,33,1
11001009907,33,1
11001010200,9,1
11001010400,39,1
11001010500,9,1
11001010700,6,1
11001010800,5,1
11001010900,39,1
11001011000,9,1
11001009901,34,1
11001000501,15,1
11001000400,14,0.649
11001000400,15,0.348
11001000400,42,0.003
11001000600,12,0.139
11001000600,15,0.861
11001000801,13,0.455
11001000801,14,0.545
11001001002,11,0.018
11001001002,14,0.982
11001001100,10,0.542
11001001100,11,0.441
11001001100,12,0.017
11001001200,11,0.334
11001001200,12,0.666
11001001302,12,0.533
11001001302,15,0.467
11001001702,17,0.708
11001001702,19,0.292
11001002102,17,0.358
11001002102,18,0.535
11001002102,19,0.107
11001002202,18,0.732
11001002202,19,0.268
11001003400,2,0.175
11001003400,3,0.777
11001003400,21,0.047
11001003500,2,0.541
11001003500,3,0.459
11001004100,1,0.973
11001004100,6,0.027
11001004300,3,0.435
11001004300,6,0.565
11001004801,3,0.128
11001004801,7,0.872
11001004802,7,0.571
11001004802,8,0.429
11001004902,7,0.421
11001004902,8,0.579
11001005002,7,0.734
11001005002,8,0.266
11001005201,6,0.22
11001005201,7,0.78
11001005500,5,0.587
11001005500,6,0.413
11001007304,38,0.633
11001007304,39,0.367
11001007401,28,0.022
11001007401,37,0.978
11001007404,38,0.993
11001007404,43,0.007
11001007504,28,0.987
11001007504,36,0.013
11001007604,34,0.672
11001007604,35,0.328
11001007605,34,0.846
11001007605,35,0.154
11001007703,32,0.782
11001007703,33,0.218
11001007803,30,0.832
11001007803,33,0.168
11001007804,30,0.233
11001007804,31,0.538
11001007804,33,0.229
11001007808,31,0.902
11001007808,33,0.098
11001008002,25,0.442
11001008002,26,0.558
11001008100,25,0.711
11001008100,26,0.289
11001008200,25,0.334
11001008200,26,0.663
11001008200,45,0.003
11001009301,21,0.002
11001009301,22,0.998
11001009400,20,0.141
11001009400,22,0.318
11001009400,24,0.542
11001009501,19,0.457
11001009501,20,0.543
11001009503,20,0.876
11001009503,22,0.113
11001009503,24,0.011
11001009505,17,0.125
11001009505,19,0.875
11001009601,29,0.893
11001009601,31,0.107
11001009807,39,0.886
11001009807,44,0.114
11001009902,32,0.163
11001009902,34,0.837
11001010100,6,0.314
11001010100,8,0.686
11001010300,17,0.879
11001010300,40,0.121
11001010600,21,0.011
11001010600,25,0.989
11001011100,22,0.539
11001011100,23,0.133
11001011100,24,0.328
