gis_id,NAME,population_total_val,children_u18_in_poverty_2007,children_u18_in_poverty_2010,children_u18_in_poverty_2014,children_u18_in_poverty_delta_07_14,children_u18_in_poverty_delta_10_14
E01008162,Gateshead 027A,14502.00,15,10,10,-0.333333333,0
E01008163,Gateshead 028A,5979.00,20,20,15,-0.25,-0.25
E01008164,Gateshead 027B,19085.00,10,5,5,-0.5,0
E01008165,Gateshead 011A,12481.00,20,15,10,-0.5,-0.333333333
E01008166,Gateshead 027C,5155.00,10,5,5,-0.5,0
E01008167,Gateshead 008A,5191.00,15,15,10,-0.333333333,-0.333333333
E01008168,Gateshead 027D,11607.00,5,5,15,2,2
E01008169,Gateshead 008B,15710.00,40,15,25,-0.375,0.666666667
E01008170,Gateshead 008C,19531.00,10,10,15,0.5,0.5
E01008171,Gateshead 008D,16884.00,20,20,15,-0.25,-0.25
E01008172,Gateshead 026A,5785.00,5,5,15,2,2
E01008173,Gateshead 026B,15980.00,20,20,15,-0.25,-0.25
E01008174,Gateshead 026C,6035.00,5,15,10,1,-0.333333333
E01008175,Gateshead 026D,18079.00,5,5,5,0,0
E01008176,Gateshead 026E,14906.00,5,5,0,-1,-1
E01008177,Gateshead 005A,8760.00,0,0,5,0,0
E01008178,Gateshead 004A,10362.00,30,35,20,-0.333333333,-0.428571429
E01008179,Gateshead 005B,11589.00,5,5,5,0,0
E01008180,Gateshead 004B,16470.00,20,5,20,0,3
E01008181,Gateshead 005C,16184.00,10,10,5,-0.5,-0.5
E01008182,Gateshead 004C,19962.00,10,10,5,-0.5,-0.5
E01008183,Gateshead 024A,10251.00,20,15,10,-0.5,-0.333333333
E01008184,Gateshead 022A,11586.00,0,0,5,0,0
E01008185,Gateshead 022B,17851.00,5,15,10,1,-0.333333333
E01008186,Gateshead 024B,19811.00,15,15,5,-0.666666667,-0.666666667
E01008187,Gateshead 024C,15046.00,15,10,20,0.333333333,1
E01008188,Gateshead 022C,5560.00,5,5,5,0,0
E01008189,Gateshead 023A,11468.00,10,10,10,0,0
E01008190,Gateshead 023B,19908.00,10,5,5,-0.5,0
E01008191,Gateshead 023C,15912.00,15,15,10,-0.333333333,-0.333333333
E01008192,Gateshead 023D,6782.00,10,15,15,0.5,0
E01008193,Gateshead 020A,14291.00,0,5,5,0,0
E01008194,Gateshead 020B,19681.00,0,0,0,0,0
E01008195,Gateshead 002A,16216.00,5,10,10,1,0
E01008196,Gateshead 024D,18718.00,10,5,5,-0.5,0
E01008197,Gateshead 002B,13127.00,5,0,0,-1,0
E01008198,Gateshead 002C,13282.00,15,30,10,-0.333333333,-0.666666667
E01008199,Gateshead 002D,11951.00,0,5,5,0,0
E01008200,Gateshead 002E,11364.00,5,0,5,0,0
E01008201,Gateshead 011B,9293.00,20,30,15,-0.25,-0.5
E01008202,Gateshead 011C,5893.00,15,15,15,0,0
E01008203,Gateshead 028B,12011.00,10,20,15,0.5,-0.25
E01008204,Gateshead 011D,5546.00,15,10,5,-0.666666667,-0.5
E01008205,Gateshead 028C,13168.00,0,0,0,0,0
E01008206,Gateshead 013A,19519.00,5,0,0,-1,0
E01008207,Gateshead 013B,9556.00,5,0,0,-1,0
E01008208,Gateshead 013C,10090.00,10,20,15,0.5,-0.25
E01008209,Gateshead 007A,10960.00,5,15,10,1,-0.333333333
E01008210,Gateshead 007B,9604.00,25,10,15,-0.4,0.5
E01008211,Gateshead 013D,8644.00,5,10,5,0,-0.5
E01008212,Gateshead 012A,6020.00,15,25,15,0,-0.4
E01008213,Gateshead 012B,9605.00,10,5,5,-0.5,0
E01008214,Gateshead 003A,15064.00,10,15,10,0,-0.333333333
E01008215,Gateshead 003B,8210.00,10,10,10,0,0
E01008216,Gateshead 012C,10605.00,10,10,0,-1,-1
E01008217,Gateshead 023E,17726.00,5,10,10,1,0
E01008218,Gateshead 021A,9228.00,15,20,10,-0.333333333,-0.5
E01008219,Gateshead 016A,19036.00,10,5,5,-0.5,0
E01008220,Gateshead 021B,19343.00,10,15,20,1,0.333333333
E01008221,Gateshead 021C,7727.00,20,20,25,0.25,0.25
E01008222,Gateshead 025A,8335.00,10,5,10,0,1
E01008223,Gateshead 025B,6777.00,25,15,20,-0.2,0.333333333
E01008224,Gateshead 025C,14505.00,10,0,0,-1,0
