gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,no_dip_18_perc,no_dip_25_perc,youth_ready_to_work_perc,engagement_perc,median_family_income_val,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,cc_cap_val,cc_pop_ratio,cc_child_pov_ratio,cc_sub_13_cur,homeownership_perc,vacants_val,grocery_val,rec_val,parks_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_ratio,homicide_val,homicide_pc_ratio,assault_val,assault_pc_ratio,robbery_val,robbery_pc_ratio,sex_abuse_val,sex_abuse_pc_ratio,white_18,black_18,hispanic_18,other_18,white_under_18,black_under_18,hispanic_under_18,other_under_18,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_hisp_perc,pop_nothisp_other_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_hisp_under18_perc,pop_nothisp_other_under18_perc
Nbclus_001,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1,18421.154,1278.223,621.057,0.073479876,0.054574393,0.049280887,0.002778341,0.039157724,0.963107374,0.62875972,148576.6838,1164.802747,820.3102393,681.905488,61.28005443,1914.072495,0.680769231,0.634615385,112,0.35531,,238386.06,0.368522831,15,3,3,2,0,41,79,4.2885836,2,0.108571738,26,1.4114326,45,2.4428641,6,0.325715216,11691.074,1764.246,2072.414,141.38,773.355,87.757,275.731,141.38,0.746122212,0.112593858,0.132261084,0.009022846,0.605023537,0.068655469,0.215714316,0.110606678
Nbclus_002,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2,49356.649,7225.913,3036.334,0.143221228,0.224092949,0.451454646,0.167592365,0.178623589,0.878621133,0.571503516,74554.20495,4934.416699,3493.144982,2829.107981,261.1706058,6988.42781,0.582750583,0.52960373,409,0.205292,0.464403,2480378.34,0.326784844,61,3,3,3,1,125,384,7.7800514,4,0.08104,118,2.3907,238,4.822011,24,0.48625321,15564.212,14615.254,10038.916,420.744,904.975,2841.856,3058.338,420.744,0.382985894,0.359635047,0.247025883,0.010353175,0.125240229,0.393286772,0.423245893,0.058227106
Nbclus_003,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",3,13155.564,1057.292,515.811,0.179492641,0.313457634,0.323814761,0.016455528,0.099678243,0.837439653,0.606814595,123589.5288,762.7553756,504.959631,419.2569804,51.71019505,1532.022312,0.550724638,0.531400966,127,0.374937,1.863673,752066.25,0.460510017,15,1,1,2,1,64,152,11.55366,1,0.07601094,41,3.11644876,100,7.60109,10,0.76010945,5169.432,5372.003,1023.052,45.038,275.342,462.036,274.876,45.038,0.445275065,0.462723755,0.088121779,0.003879401,0.260421908,0.436999429,0.259981159,0.042597504
Nbclus_004,Cluster 4,"Georgetown, Burleith/Hillandale",4,19683,2175,1048,0.121385725,0.014960262,0.127162225,0.009243212,0.019274376,0.931283906,0.554626664,210053.1404,106.0195846,51.60741684,36.4617619,,98.72723211,0.85915493,0.887323944,90,0.122449,,0,0.582996557,10,2,2,2,0,75,52,2.6418,1,0.0508052,13,0.660468,28,1.4225473,10,0.50805263,14333,637,954,207,1748,23,197,207,0.888537598,0.039489182,0.059140785,0.012832434,0.803678161,0.010574713,0.090574713,0.095172414
Nbclus_005,Cluster 5,"West End, Foggy Bottom, GWU",5,16448.427,307.209,159.289,0.234113908,0.180822957,0.232465453,0.001549868,0.029781944,0.883636885,0.691729212,186865.5783,46.38435705,8.381060107,6.893239418,,136.9475593,0.666666667,0.75,295,1.956389,,19464.78,0.278932111,0,2,0,3,1,31,50,3.039883268,1,0.060797665,19,1.15515564,23,1.398346,7,0.425583657,10918.574,1334.555,1335.477,51,232.882,11,12.327,51,0.800505088,0.097844102,0.097911699,0.003739111,0.758057218,0.035806243,0.040125778,0.166010761
Nbclus_006,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",6,20130.376,963.715,554.839,0.100001375,0.089734571,0.146328897,0.006424852,0.026427614,0.953913562,0.623034834,154113.3884,865.3306224,604.0362259,502.2241517,44.01644495,1572.774426,0.725,0.675,412,1.107307,48.61357,0,0.325462562,11,1,1,0,3,120,143,7.1038,1,0.049677,65,3.229011,67,3.32836,10,0.496770988,13715.414,1636.358,1362.289,106.912,537.968,124.043,194.792,106.912,0.815375781,0.097280817,0.080987527,0.006355875,0.558223126,0.128713364,0.202126147,0.110937362
Nbclus_007,Cluster 7,"Shaw, Logan Circle",7,17912.646,1460.657,531.792,0.130280613,0.186632359,0.299221969,0.122623524,0.103588562,0.801950831,0.608628697,123712.5997,1081.948346,714.2774823,591.9542828,72.71043665,2501.599938,0.557291667,0.470486111,188,0.388655,2.322651,273269.03,0.339086972,11,3,1,2,2,57,122,6.810696,2,0.11165,26,1.4514598,86,4.800982,8,0.44660302,8786.027,4108.553,1958.489,280.474,158.94,714.555,306.688,280.474,0.580566428,0.271486525,0.12941378,0.018533267,0.108814047,0.489201092,0.209965789,0.192019071
Nbclus_008,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",8,17690.608,1824.479,701.838,0.185352098,0.285596397,0.589360977,0.101020535,0.133080862,0.865603637,0.572953993,131242.3448,1843.855834,1180.594121,977.3153909,137.5255244,4308.850945,0.476086957,0.4,592,1.364329,2.311976,242867.74,0.260608791,2,2,0,1,5,163,266,15.0358939,3,0.1695777,97,5.48301396,138,7.80057,28,1.5827,7561.555,4810.567,1580.699,168.276,132.722,1332.729,190.752,168.276,0.53547929,0.340665247,0.111938825,0.011916638,0.072745151,0.730471,0.104551491,0.092232358
Nbclus_009,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",9,11782,1066,303,0.144459668,0.393767705,0.585585586,0.087308731,0.065903175,0.862111801,0.656817442,98679.9414,1196.604683,777.3123385,609.3503276,92.07997715,2556.961154,0.482378855,0.425110132,144,0.386059,1.846154,197072.56,0.416080402,3,1,1,3,3,93,99,8.4026481,0,0,46,3.9042607,45,3.8193855,8,0.67900186,4552,4570,699,77,67,894,28,77,0.459890887,0.461709436,0.070620327,0.007779349,0.062851782,0.838649156,0.026266417,0.072232645
Nbclus_010,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",10,14771.906,3303.904,955.072,0.062414896,0.017554989,0.063880839,0.060488581,0.035299686,0.928886184,0.704065856,206721.2639,126.1088129,64.93508709,53.25244262,,142.4352701,0.922958398,0.915254237,57,0.107403,1.357143,0,0.73570898,3,2,2,0,0,115,19,1.286217167,1,0.06769564,9,0.60926,8,0.541565123,1,0.06769564,8777.38,1459.844,638.95,329.91,2460.816,325.704,187.474,329.91,0.78326916,0.130272448,0.057018134,0.029440258,0.744820673,0.098581557,0.056743174,0.099854596
