gis_id,NAME,NBH_NAMES,NCID,population_total_val,population_under_18_val,population_under_5_val,total_neighborhood_poverty_perc,children_in_poverty_perc,single_mother_families_perc,youth_ready_to_work_perc,medicaid_enroll_val,prev_med_visit_val,dental_visit_val,er_ast_10_val,fs_client_2012_val,math_perc,reading_perc,cc_cap_val,cc_pop_ratio_perc,cc_child_pov_perc,cc_sub_13_cur,homeownership_perc,vacants_val,libraries_val,grocery_val,rec_val,metro_val,bus_stops_val,total_crime_val,total_crime_pc_val,homicide_val,homicide_pc_val,assault_val,assault_pc_val,robbery_val,robbery_pc_val,sex_abuse_val,sex_abuse_pc_val,,,white_18,black_18,hispanic_18,other_18,other_under_18,no_hs_degree_18_24,,children_in_poverty_numer,children_in_poverty_denom,population_other_total,white_under_18,black_under_18,hispanic_under_18,no_hs_degree_25_plus,youth_ready_to_work_numer,youth_ready_to_work_denom,homeownership_numer,work_numer,median_family_income,pop_nothisp_white_perc,pop_nothisp_black_perc,pop_nothisp_other_perc,pop_hisp_perc,pop_nothisp_white_under18_perc,pop_nothisp_black_under18_perc,pop_nothisp_other_under18_perc,pop_hisp_under18_perc
Nbclus_001,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1,17659.155,1096.06,548.111,0.063269747,0.059241818,0.036509387,0.965717547,1324.046725,1071.217378,710.6528848,61.28005443,1914.072495,0.680769231,0.634615385,100,0.322297855,,238386.06,0.377820941,2,0,3,3,0,45,160,9.060456177,0,0,38,2.151858342,120,6.795342133,2,0.113255702,,,11140.887,1937.434,1940.602,128.028,128.028,718.706,,63,1063.438,1730.2,694.95,80,193.082,0,957.761,991.761,4010.615,755.542,0.036509387,0.69,0.1,0.09,0.13,0.47,0.12,0.14,0.27
Nbclus_002,Cluster 2,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",2,47340.098,7279.644,2914.692,0.163653073,0.258809599,0.50067717,0.873381502,5725.217496,4620.994573,3109.218578,261.1706058,6988.42781,0.582750583,0.52960373,339,0.2312093,,2480378.34,0.314450805,38,1,3,4,0,129,532,11.23783056,4,0.084494967,116,2.450354032,398,8.407249178,14,0.295732383,,,13710.212,14672.259,9873.653,204.875,204.875,3806.529378,,1860.723,7189.544,2743.819,702.775,2933.091,3438.903,1277.201,4255.009,4871.879,5913.365,2672.698,0.50067717,0.3,0.37,0.06,0.27,0.12,0.42,0.05,0.41
Nbclus_003,Cluster 3,"Howard University, Le Droit Park, Cardozo/Shaw",3,12426.726,955.891,484.269,0.173558824,0.248515494,0.284276724,0.855870825,871.7280777,660.0462741,459.6141117,51.71019505,1532.022312,0.550724638,0.531400966,143,0.440201816,3.404761905,752066.25,0.436721282,19,0,3,1,2,66,251,20.19840141,1,0.080471719,68,5.472076877,169,13.59972047,13,1.046132344,,,4747.209,5170.86,975.539,62.5,62.5,2073.162548,,234.829,944.927,772.665,230.238,397.119,266.034,67.743,1395.369,1630.35,2084.22,390.033,0.284276724,0.41,0.42,0.07,0.09,0.17,0.54,0.09,0.21
Nbclus_004,Cluster 4,"Georgetown, Burleith/Hillandale",4,19489,2118,1164,0.117822262,0.011904762,0.116666667,0.935515388,103.7757838,62.82642043,35.33986149,,98.72723211,0.85915493,0.887323944,39,0.046594982,,0,0.562268621,1,1,2,3,0,99,45,2.308994818,0,0,10,0.513109959,32,1.64195187,3,0.153932988,,,14415,542,883,182,182,3937.012052,,25,2100,1747,1750,0,186,35,1915,2047,3797,294,0.116666667,0.81,0.03,0.1,0.06,0.81,0.02,0.09,0.08
Nbclus_005,Cluster 5,"West End, Foggy Bottom, GWU",5,16436.137,304.253,168.509,0.251673325,0.097560304,0.049123189,0.938596744,42.74433212,,,,136.9475593,0.666666667,0.75,235,1.973960521,,19464.78,0.293932831,2,1,2,0,1,39,48,2.920394251,0,0,11,0.669257016,29,1.76440486,8,0.486732375,,,10889.066,1480.905,1137.481,65.306,65.306,5147.196443,,24.805,254.253,2735.891,198.402,28.805,11.74,16.174,2182.565,2325.349,2029.364,211.444,0.049123189,0.75,0.05,0.14,0.06,0.58,0.1,0.21,0.11
Nbclus_006,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",6,19952.788,976.114,526.795,0.10867283,0.085492179,0.145829849,0.945704401,998.4681314,802.0656909,532.4508869,44.01644495,1572.774426,0.725,0.675,294,0.828348684,0.599092802,0,0.330583505,3,0,1,1,4,130,226,11.3267379,0,0,60,3.007098557,158,7.918692866,8,0.400946474,,,14037.174,1561.564,1309.413,93.915,93.915,1405.574225,,81.195,949.736,2216.375,562.107,151.965,168.127,25.188,1550.75,1639.783,4184.888,646.187,0.145829849,0.72,0.07,0.12,0.08,0.57,0.1,0.2,0.13
Nbclus_007,Cluster 7,"Shaw, Logan Circle",7,17537.11,1467.167,468.05,0.126392614,0.197438294,0.342084739,0.83375652,1291.265862,978.5730632,680.9021955,72.71043665,2501.599938,0.557291667,0.470486111,168,0.611872512,,273269.03,0.327183291,17,1,2,1,1,59,153,8.724356522,1,0.057021938,29,1.653636203,117,6.671566752,6,0.342131628,,,8222.384,4262.871,2394.538,113.422,113.422,841.3911191,,285.432,1445.677,1317.612,174.468,763.641,415.636,247.228,992.317,1190.176,3203.537,553.64,0.342084739,0.48,0.28,0.1,0.15,0.13,0.5,0.11,0.27
Nbclus_008,Cluster 8,"Downtown, Chinatown, Penn Quarters, Mount Vernon Square, North Capitol Street",8,17353.386,1686.887,763.542,0.186860681,0.274758301,0.560248316,0.825934314,2122.880533,1551.734628,1110.775741,137.5255244,4308.850945,0.476086957,0.4,606,1.456265184,2.362388898,242867.74,0.2627333,4,2,1,1,6,180,321,18.49783091,0,0,98,5.647312864,212,12.21663599,11,0.633882056,,,7065.46,5032.747,1689.014,146.714,146.714,1426.523394,,457.752,1666.017,2079.862,110.476,1177.467,252.23,350.314,1401.893,1697.342,2461.011,361.728,0.560248316,0.42,0.36,0.15,0.06,0.07,0.77,0.11,0.05
Nbclus_009,Cluster 9,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",9,11819,1129,256,0.129514215,0.320888889,0.722580645,0.952254642,5286.316624,3254.937732,2804.717795,92.07997715,2556.961154,0.482378855,0.425110132,246,1.064935065,0.933062265,197072.56,0.432287249,4,1,1,2,4,93,98,8.291733649,2,0.169219054,36,3.045942973,58,4.907352568,2,0.169219054,,,4318,4716,682,60,60,571.2265306,,361,1125,1107,61,982,26,111,718,754,3058,519,0.722580645,0.32,0.54,0.08,0.05,0.06,0.8,0.1,0.05
Nbclus_010,Cluster 10,"Hawthorne, Barnaby Woods, Chevy Chase",10,14824.424,3402.652,1014.262,0.057440083,0.023049081,0.066055568,0.914241774,108.4169914,83.17404038,52.2112389,,142.4352701,0.922958398,0.915254237,37,0.061352745,,0,0.734618294,2,1,2,2,0,115,10,0.674562465,0,0,0,0,9,0.607106219,1,0.067456247,,,8677.05,1454.736,597.568,319.384,319.384,327.6250394,,78.428,3402.652,1023.802,2650.16,238.726,194.382,19.588,466.064,509.782,4358.22,365.612,0.066055568,0.77,0.1,0.07,0.06,0.78,0.06,0.09,0.07
