OBJECTID_1,gis_id,NAME,NBH_NAMES,NCID,population_total,population_total_margin,population_under_18,population_under_18_margin,median_family_income,median_family_income_margin,single_mother_families,single_mother_families_margin,children_poverty,children_in_poverty,children_in_poverty_margin,pop_nothisp_white,pop_nothisp_black,pop_nothisp_other,pop_hisp,pop_nothisp_white_under18,pop_nothisp_black_under18,pop_nothisp_other_under18,pop_hisp_under18,population_white_total_perc,population_white_total,population_white_total_margin,population_black_total_perc,population_black_total,population_black_total_margin,population_hisp_total_perc,population_hisp_total,population_hisp_total_margin,population_under_5_perc,population_under_5,population_under_5_margin,population_other_total_perc,population_other_total,population_other_total_margin,white_under_18_perc,white_under_18,white_under_18_margin,hispanic_under_18_perc,hispanic_under_18,hispanic_under_18_margin,no_hs_degree_25_plus,no_hs_degree_25_plus_margin,white_18,white_18_margin,hispanic_18,hispanic_18_margin,no_hs_degree_18_24,no_hs_degree_18_24_margin,libraries,grocery,rec,bus_stops,metro,RecCenters,violent_crimes,cc_cap,cc_ratio_demand,cc_ratio,cc_sub_12,cc_sub_13,vacants,math,reading,grad,dental_visit,er_ast_10,fs_client_2012,medicaid_enroll,prev_med_visit
39,Nbclus_011,Cluster 11,"Friendship Heights, American University Park, Tenleytown",11,28206.58,4915.15,8295.123,2958.151,318472,102579.477,5498.692,2442.182,0.287941572,8121.847,2909.594,0.79,0.05,0.09,0.07,0.76,0.03,0.13,0.08,0.01,382.497,474.562,0.959102982,27053.015,4997.859,0.015266509,430.616,835.254,0.104399895,2944.764,1476.393991,0.023324487,657.904,2338.964582,0.002049397,17,2721.271414,0.01265804,105,1895.132079,898.201,1526.756506,365.497,2787.096425,214.845,2810.725823,19013.256,3491.130001,1,3,2,88,2,2,3,23,0.002831868,0.007810473,0,0,0,0.875,0.575,,24.78364481,10.0001167,68.91836008,56.73038402,40.28443008
2,Nbclus_033,Cluster 33,"Capitol View, Marshall Heights, Benning Heights",33,45598.631,5494.069,7150.43,2304.115,658971.785,130847.751,2637.395,1675.521,0.153868764,7016.205,2273.29,0.01,0.95,0.02,0.02,0,0.94,0.02,0.03,0.31,14080.859,2749.397,0.376681506,17176.161,3933.172,0.256350942,11689.252,4044.87,0.06323249,2883.315,1334.703412,0.075321538,3434.559,2444.45735,0.149071454,1065.925,2213.599743,0.200316764,1432.351,1348.700987,1375.976,1743.689629,13014.934,3596.582552,8927.594,4598.207498,37072.225,4994.591215,1,0,2,101,1,2,0,139,0.01981128,0.048208399,1441644.21,707196.76,37,0.319166667,0.63,0.4775,2726.715986,247.853467,8848.9589,4733.148814,3285.041983
18,Nbclus_006,Cluster 6,"Dupont Circle, Connecticut Avenue/K Street",6,36415.172,4335.825,7197.86,2387.797,584838.882,160504.872,2269.972,1710.278,0.192718546,7017.879,2390.813,0.72,0.07,0.12,0.08,0.57,0.1,0.2,0.13,0.13,4555.722,1474.694,0.62431648,22734.592,3837.659,0.215567072,7849.912,2770.731,0.076693363,2792.802,1406.469684,0.052692103,1918.792,2112.62179,0.063291728,455.565,2153.363016,0.121656576,875.667,1263.353405,802.794,1655.166431,4100.157,2648.36302,5851.976,3474.285837,28414.518,3562.552823,0,1,1,130,4,1,6,294,0.041892999,0.105270621,0,0,3,0.73,0.81,,532.4508869,44.01644495,1572.774426,998.4681314,802.0656909
38,Nbclus_018,Cluster 18,"Brightwood Park, Crestwood, Petworth",18,12807.019,1610.708,4695.357,981.686,103766.233,26855.998,2922.977,855.871,0.363027415,4649.299,976.578,0.13,0.59,0.04,0.24,0.07,0.53,0.05,0.35,0.01,72.276,261.37,0.97464531,12482.301,1589.55,0.018920406,242.314,263.797,0.147730319,1891.985,650.887028,0.001581633,20.256,890.7649965,0,0,974.3082917,0.006389291,30,637.7744338,437.965,541.2081282,72.276,1012.767057,115.085,922.3735593,7673.697,1127.073701,1,2,4,159,1,5,7,385,0.082808182,0.203489985,5170923.34,2234298.2,39,0.438333333,0.645,0.636666667,3686.474135,303.3191796,8881.675502,6988.208305,5399.579
26,Nbclus_014,Cluster 14,"Cathedral Heights, McLean Gardens, Glover Park",14,28150.625,3662.742,3878.448,1279.852,987580.869,186891.097,743.432,766.884,0.133176794,3749.01,1190.286,0.76,0.05,0.1,0.09,0.61,0.06,0.17,0.17,0.56,15783.382,2198.692,0.337920668,9512.678,2641.111,0.045031966,1267.678,959.279,0.066088018,1860.419,1141.952608,0.077097223,2170.335,2202.934217,0.408938318,1586.046,2069.0607,0.024646714,95.591,1856.025782,547.853,1922.720965,14197.336,3147.807199,895.883,2767.12083,23724.324,3788.549892,0,2,2,70,0,2,0,5,0.001333685,0.002687567,0,0,0,0.84,0.79,,46.42814834,23.91129211,131.9208652,121.5271078,79.6672448
25,Nbclus_024,Cluster 24,"Woodridge, Fort Lincoln, Gateway",24,25194.163,3092.572,3947.577,1301.449,794918.199,140098.709,1589.93,1041.051,0.153250378,3861.015,1259.015,0.05,0.85,0.04,0.06,0.03,0.82,0.04,0.1,0.46,11532.631,1798.535,0.44316503,11165.172,2496.777,0.049437126,1245.527,1035.403,0.070883045,1785.839,891.188001,0.06365268,1603.676,1990.329443,0.328395114,1296.365,1872.266799,0.045712345,180.453,1722.933074,226.465,1591.780113,10236.266,2719.635432,956.032,2741.978375,21020.121,3033.222922,0,0,2,65,0,2,1,4,0.001035997,0.002239844,612430,259132.72,14,0.355,0.795,,636.0120346,56.18677176,2115.576004,1090.510736,835.3018341
17,Nbclus_023,Cluster 23,"Ivy City, Arboretum, Trinidad, Carver Langston",23,21138.803,2594.153,4071.595,1416.973,342705.265,87642.412,1043.922,682.862,0.190775656,4032.769,1422.405,0.07,0.86,0.03,0.04,0.02,0.91,0.03,0.05,0.1,2032.31,879.861,0.685186243,14484.017,2184.578,0.185260632,3916.188,1829.264,0.070935237,1499.486,743.0751825,0.046929005,992.023,1092.203907,0.04621383,188.164,1422.629003,0.172223907,701.226,811.7122127,378.693,806.9691769,1844.146,1789.850871,2614.902,2330.625312,16688.515,2079.787551,0,2,3,84,0,3,3,139,0.034467633,0.092698431,664219.95,188134.29,29,0.273333333,0.63,0.9,1219.311935,145.9687742,5448.884191,2278.79174,1581.976258
33,Nbclus_037,Cluster 37,"Sheridan, Barry Farm, Buena Vista",37,16392.682,2349.144,4727.185,1388.316,259861.403,53770.948,2353.27,1179.294,0.286436167,4695.457,1386.316,0.01,0.96,0.01,0.02,0,0.96,0.01,0.02,0.01,122.443,440.733,0.970505254,15909.184,2383.37,0.007043143,115.456,264.687,0.088657427,1453.333,864.4020105,0.023228353,380.775,1533.645727,0.00221231,10.458,1778.769631,0.000331698,1.568,1273.207195,343.886,1081.580897,111.985,1840.812123,111.928,1836.657392,11321.611,1921.133206,0,0,1,82,1,1,1,9,0.001916746,0.006192662,932628.29,521497.4,21,0.465,0.7675,0.78,1201.669526,122.3711535,4163.05144,2173.342088,1586.26458
32,Nbclus_035,Cluster 35,"Fairfax Village, Naylor Gardens, Hillcrest, Summit Park",35,12802.024,1695.552,3771.576,1122.308,148282.817,33277.471,2113.436,929.091,0.291010234,3725.52,1107.471,0.05,0.91,0.02,0.02,0.02,0.93,0.03,0.02,0.01,84.883,122.95,0.973401081,12461.504,1723.083,0.013792741,176.575,196.953,0.11323022,1449.576,705.5556068,0.010886247,139.366,842.6573978,8.64E-05,0.326,1057.203146,0.003922233,14.793,721.5526061,235.579,553.0203931,84.557,1069.052367,133.782,1046.343156,8794.869,1177.334643,0,1,1,71,0,1,0,10,0.002684189,0.006898569,356500.53,147798.24,2,0.33,0.7,,1098.226878,111.8371457,3804.685802,1986.255492,1449.71505
21,Nbclus_001,Cluster 1,"Kalorama Heights, Adams Morgan, Lanier Heights",1,20654.651,3112.839,3420.299,1214.073,544521.301,135959.276,1397.584,971.381,0.161469201,3335.09,1211.24,0.69,0.1,0.09,0.13,0.47,0.12,0.14,0.27,0.16,3309.099,1374.971,0.682202909,14090.663,2887.071,0.104035938,2148.826,1376.385,0.06956806,1436.904,980.8627298,0.084850381,1752.555,1988.478895,0.035347787,120.9,2298.897171,0.11735436,401.387,1474.894484,306.524,1500.399889,3188.199,2716.608465,1435.19,2693.746126,16927.828,3060.733272,0,3,3,45,0,3,2,100,0.029984198,0.069594072,431941.08,238386.06,2,0.22,0.3975,,710.6528848,61.28005443,1914.072495,1324.046725,1071.217378
