name,lat,long,enrollment,alloc,math,reading,grad
Aiton Elementary School,38.895947,-76.934041,252,1928519.66,0.130434783,0.188405797,
Amidon-Bowen Elementary School,38.879278,-77.01769,293,2027255.96,0.206185567,0.309278351,
Anacostia Senior High School,38.870602,-76.982226,697,7515492.38,0.185185185,0.196319018,0.43
Ballou Senior High School,38.840155,-77.000567,791,10350015.48,0.187165775,0.134408602,0.4456
Bancroft Elementary School,38.934175,-77.040347,473,5023370.03,0.517045455,0.428571429,
Barnard Elementary School,38.948498,-77.018143,569,5443288.51,0.482352941,0.532544379,
Beers Elementary School,38.863662,-76.956003,384,3615135.14,0.471830986,0.408450704,
Benjamin Banneker Senior High School,38.924076,-77.023499,394,3606043.02,1,0.961165049,1
Brent Elementary School,38.885081,-77.001916,358,2799908.6,0.80733945,0.76146789,
Brightwood Education Campus,38.960176,-77.029798,573,5384060.64,0.462093863,0.418867925,
Brookland Education Campus at Bunker Hill,38.942536,-76.985428,274,2584065.32,0.363057325,0.382165605,
Browne Education Campus,38.902013,-76.970236,364,3187626.23,0.375634518,0.263959391,
Bruce-Monroe Elementary School at Park View,38.934085,-77.020839,442,4464938.78,0.556390977,0.404580153,
Burroughs Education Campus,38.933123,-76.978985,283,3037733.11,0.567375887,0.468085106,
Burrville Elementary School,38.900024,-76.925035,357,3045385.45,0.302752294,0.385321101,
C.W. Harris Elementary School,38.884584,-76.926164,265,1884996.28,0.313432836,0.28358209,
Capitol Hill Montessori at Logan,38.898894,-77.003163,224,1961809.92,0.380952381,0.642857143,
Cardozo Senior High School,38.922403,-77.028217,537,4794199.25,0.326241135,0.197183099,0.38
Cleveland Elementary School,38.914531,-77.022921,297,2931246.55,0.680851064,0.712765957,
Columbia Heights Education Campus,38.928756,-77.036432,1262,10538211.9,0.511029412,0.468164794,0.7308
Coolidge Senior High School,38.966275,-77.019868,490,4979681.08,0.272727273,0.352459016,0.5333
Davis Elementary School,38.878668,-76.937034,178,1799852.15,0.25,0.3,
Deal Middle School,38.952338,-77.073742,1165,8796133.7,0.882716049,0.8255093,
Drew Elementary School,38.895809,-76.920362,164,1641035.44,0.12,0.16,
Duke Ellington School of the Arts,38.913638,-77.069487,531,5958800.99,0.753521127,0.802816901,0.95
Dunbar Senior High School,38.90755,-77.015513,504,4399071.39,0.168141593,0.178571429,0.6
Eastern Senior High School,38.88981,-76.980584,504,4797948.53,0.393063584,0.450867052,
Eaton Elementary School,38.932539,-77.065353,459,3648060.49,0.843243243,0.842391304,
Eliot-Hine Middle School,38.892002,-76.97829,281,3781152.23,0.429118774,0.36259542,
Ferebee-Hope Elementary School,38.832099,-76.994627,215,1897947.86,0.171052632,0.276315789,
Francis-Stevens Education Campus,38.907248,-77.051922,224,2085665.71,0.469026549,0.566037736,
Garfield Elementary School,38.852283,-76.970402,245,1930193.57,0.25,0.15625,
Garrison Elementary School,38.914083,-77.028242,228,2809530.23,0.327586207,0.310344828,
H.D. Cooke Elementary School,38.923892,-77.039019,388,3838820.35,0.327868852,0.408333333,
H.D. Woodson Senior High School,38.886295,-76.936044,710,8034332.73,0.179775281,0.214285714,0.4421
Hardy Middle School,38.914792,-77.069334,404,3712323.96,0.670076726,0.624678663,
Hart Middle School,38.837608,-76.998293,517,4737023.11,0.265957447,0.295744681,
Hearst Elementary School,38.940767,-77.072427,273,2745861.67,0.669902913,0.708737864,
Hendley Elementary School,38.829184,-77.000145,339,2725986.25,0.251798561,0.171428571,
Houston Elementary School,38.904811,-76.929627,238,1862536.31,0.192771084,0.228915663,
Hyde-Addison Elementary School,38.907842,-77.064344,332,2431367.42,0.801724138,0.775862069,
J.O. Wilson Elementary School,38.902518,-76.997084,408,4164014.3,0.640776699,0.533980583,
Janney Elementary School,38.947902,-77.080493,599,4471340.77,0.925619835,0.941908714,
Jefferson Middle School,38.899922,-77.021899,279,1452652.2,0.633962264,0.452830189,
John Hayden Johnson Middle School,38.849328,-76.985174,244,2341684,0.291666667,0.300925926,
Kelly Miller Middle School,38.893596,-76.932885,353,3754031.41,0.528700906,0.374622356,
Kenilworth Elementary School,38.907354,-76.940268,147,1291803.55,0.275862069,0.293103448,
Ketcham Elementary School,38.866216,-76.98326,260,1913780.05,0.375,0.3,
Key Elementary School,38.926285,-77.099933,375,2918291.12,0.893617021,0.914893617,
Kimball Elementary School,38.883168,-76.957808,289,2424885.41,0.290598291,0.341880342,
King Elementary School,38.842968,-76.998449,311,2687496.69,0.279279279,0.405405405,
Kramer Middle School,38.870739,-76.980659,277,2797272.48,0.315352697,0.231404959,
Lafayette Elementary School,38.965914,-77.068433,689,5485752.29,0.921768707,0.901360544,
Langdon Education Campus,38.924508,-76.977558,350,3243405.25,0.429447853,0.533742331,
Langley Educational Campus,38.915542,-77.005705,417,3535423.17,0.444933921,0.462555066,
