GEOID,PORTION,CLUSTERID,TractSplit,ZIP,TRACT,RES_RATIO,BUS_RATIO,OTH_RATIO,TOT_RATIO
11001000100,1,4,1,20008,11001000100,0,0.0028301887,0,0.0001546232
11001000100,1,4,1,20027,11001000100,1,1,1,1
11001000100,1,4,1,20007,11001000100,0.1978553876,0.368505624,0.233460076,0.2198543134
11001000201,1,4,1,20007,11001000201,0.0010425199,0.0048205678,0,0.0013846246
11001000201,1,4,1,20057,11001000201,0,0.5,0,0.5
11001000202,1,4,1,20057,11001000202,0,0.5,0,0.5
11001000202,1,4,1,20007,11001000202,0.1566013851,0.4231387252,0.1771863118,0.1881885498
11001000300,1,4,1,20007,11001000300,0.2054508899,0.0433851098,0.2410646388,0.190054783
11001000400,0.348,15,0.348,20007,11001000400,0.0349244173,0.0894483128,0.0144486692,0.0394317019
11001000400,0.348,15,0.348,20008,11001000400,0.0113387595,0.0160377358,0,0.0112874961
11001000400,0.348,15,0.348,20016,11001000400,0.0001166657,0.0068493151,0.0027210884,0.0006773656
11001000400,0.348,15,0.348,20392,11001000400,0,0,1,1
11001000400,0.003,42,0.003,20007,11001000400,0.0349244173,0.0894483128,0.0144486692,0.0394317019
11001000400,0.003,42,0.003,20008,11001000400,0.0113387595,0.0160377358,0,0.0112874961
11001000400,0.003,42,0.003,20016,11001000400,0.0001166657,0.0068493151,0.0027210884,0.0006773656
11001000400,0.003,42,0.003,20392,11001000400,0,0,1,1
11001000400,0.649,14,0.649,20007,11001000400,0.0349244173,0.0894483128,0.0144486692,0.0394317019
11001000400,0.649,14,0.649,20008,11001000400,0.0113387595,0.0160377358,0,0.0112874961
11001000400,0.649,14,0.649,20016,11001000400,0.0001166657,0.0068493151,0.0027210884,0.0006773656
11001000400,0.649,14,0.649,20392,11001000400,0,0,1,1
11001000501,1,15,1,20008,11001000501,0.1046870615,0.1066037736,0.1366223909,0.1056592104
11001000502,1,15,1,20008,11001000502,0.1023856301,0.0783018868,0.1461100569,0.1022574992
11001000600,0.861,15,0.861,20008,11001000600,0.1287117598,0.2735849057,0.1480075901,0.1371508092
11001000600,0.861,15,0.861,20016,11001000600,0.1052324564,0.2633181126,0.0285714286,0.11312005
11001000600,0.139,12,0.139,20008,11001000600,0.1287117598,0.2735849057,0.1480075901,0.1371508092
11001000600,0.139,12,0.139,20016,11001000600,0.1052324564,0.2633181126,0.0285714286,0.11312005
11001000701,1,14,1,20007,11001000701,0.0501898876,0.0026780932,0.0129277567,0.0418999458
11001000701,1,14,1,20016,11001000701,0.1598903342,0.0220700152,0.0816326531,0.1474572739
11001000702,1,14,1,20007,11001000702,0.1831111773,0.0096411355,0.1634980989,0.1620612847
11001000801,0.455,13,0.455,20007,11001000801,0.0613597438,0.0294590252,0.0380228137,0.0559267955
11001000801,0.455,13,0.455,20016,11001000801,0.1314239048,0.0928462709,0.1632653061,0.1300020842
11001000801,0.545,14,0.545,20007,11001000801,0.0613597438,0.0294590252,0.0380228137,0.0559267955
11001000801,0.545,14,0.545,20016,11001000801,0.1314239048,0.0928462709,0.1632653061,0.1300020842
11001000802,1,13,1,20007,11001000802,0.1094645916,0.0289234065,0.119391635,0.1011980013
11001000901,1,13,1,20016,11001000901,0.191681736,0.0936073059,0.0476190476,0.1794497707
11001000902,1,13,1,20016,11001000902,0.0510412413,0.0753424658,0.0299319728,0.0518966236
11001001001,1,11,1,20016,11001001001,0.1597153357,0.1742770167,0.1020408163,0.1585035431
11001001001,1,11,1,20015,11001001001,0.0153020134,0.1238615665,0.2307692308,0.0260794686
11001001001,1,11,1,20047,11001001001,0,1,0,1
11001001001,1,11,1,20076,11001001001,0,1,1,1
11001001002,0.982,14,0.982,20016,11001001002,0.1399988333,0.0859969559,0.4476190476,0.1480825344
11001001002,0.018,11,0.018,20016,11001001002,0.1399988333,0.0859969559,0.4476190476,0.1480825344
11001001100,0.441,11,0.441,20008,11001001100,0.0127982038,0.0179245283,0.0151802657,0.013142975
11001001100,0.441,11,0.441,20016,11001001100,0.0218164849,0.1590563166,0.0721088435,0.0331388078
11001001100,0.441,11,0.441,20015,11001001100,0.2704697987,0.7905282332,0.3846153846,0.3074178866
11001001100,0.542,10,0.542,20008,11001001100,0.0127982038,0.0179245283,0.0151802657,0.013142975
11001001100,0.542,10,0.542,20016,11001001100,0.0218164849,0.1590563166,0.0721088435,0.0331388078
11001001100,0.542,10,0.542,20015,11001001100,0.2704697987,0.7905282332,0.3846153846,0.3074178866
11001001100,0.017,12,0.017,20008,11001001100,0.0127982038,0.0179245283,0.0151802657,0.013142975
11001001100,0.017,12,0.017,20016,11001001100,0.0218164849,0.1590563166,0.0721088435,0.0331388078
11001001100,0.017,12,0.017,20015,11001001100,0.2704697987,0.7905282332,0.3846153846,0.3074178866
11001001200,0.334,11,0.334,20016,11001001200,0.0390830076,0.0266362253,0.0244897959,0.0376719466
11001001200,0.334,11,0.334,20008,11001001200,0.1103564412,0.0745283019,0.0740037951,0.1074116071
11001001200,0.666,12,0.666,20016,11001001200,0.0390830076,0.0266362253,0.0244897959,0.0376719466
11001001200,0.666,12,0.666,20008,11001001200,0.1103564412,0.0745283019,0.0740037951,0.1074116071
11001001301,1,12,1,20015,11001001301,0.0017449664,0.0036429872,0,0.0018452454
11001001301,1,12,1,20008,11001001301,0.1219197306,0.0367924528,0.0303605313,0.1147819812
11001001302,0.467,15,0.467,20008,11001001302,0.2937973618,0.2339622642,0.2732447818,0.2899701062
11001001302,0.533,12,0.533,20008,11001001302,0.2937973618,0.2339622642,0.2732447818,0.2899701062
11001001401,1,10,1,20015,11001001401,0.1993288591,0.0510018215,0.2538461538,0.1901832944
11001001402,1,10,1,20015,11001001402,0.186442953,0.0182149362,0.1,0.173699102
11001001402,1,10,1,20008,11001001402,0.0021891664,0.0198113208,0.0037950664,0.0031955469
11001001500,1,10,1,20015,11001001500,0.3267114094,0.0127504554,0.0307692308,0.3007750031
11001001600,1,16,1,20012,11001001600,0.2803568478,0.3719512195,0.1489361702,0.2815292222
11001001702,0.292,19,0.292,20011,11001001702,0.0029618083,0.0110294118,0.0023191095,0.0032175477
11001001702,0.292,19,0.292,20012,11001001702,0.2083264497,0.406504065,0.2836879433,0.2257214003
11001001702,0.708,17,0.708,20011,11001001702,0.0029618083,0.0110294118,0.0023191095,0.0032175477
11001001702,0.708,17,0.708,20012,11001001702,0.2083264497,0.406504065,0.2836879433,0.2257214003
11001001803,1,17,1,20011,11001001803,0.0477007015,0.0082720588,0.0380333952,0.0454954332
11001001803,1,17,1,20012,11001001803,0.0692218735,0.0020325203,0.0992907801,0.0656217958
11001001804,1,17,1,20011,11001001804,0.047817615,0.0477941176,0.0737476809,0.0497508995
11001001804,1,17,1,20012,11001001804,0.1511647117,0.0528455285,0.2163120567,0.1467701772
11001001901,1,17,1,20012,11001001901,0.0472492979,0.012195122,0,0.0427713491
