,portion,clusterid,zip,tract,res_ratio,med_dental,med_prev,med_active
0,1.0,4,20008,11001000100,0.0,77,101,191
1,0.348,15,20008,11001000400,0.01133876,77,101,191
2,0.003,42,20008,11001000400,0.01133876,77,101,191
3,0.649,14,20008,11001000400,0.01133876,77,101,191
4,1.0,15,20008,11001000501,0.104687062,77,101,191
5,1.0,15,20008,11001000502,0.10238563,77,101,191
6,0.861,15,20008,11001000600,0.12871176,77,101,191
7,0.139,12,20008,11001000600,0.12871176,77,101,191
8,0.441,11,20008,11001001100,0.012798204,77,101,191
9,0.542,10,20008,11001001100,0.012798204,77,101,191
10,0.017,12,20008,11001001100,0.012798204,77,101,191
11,0.334,11,20008,11001001200,0.110356441,77,101,191
12,0.666,12,20008,11001001200,0.110356441,77,101,191
13,1.0,12,20008,11001001301,0.121919731,77,101,191
14,0.467,15,20008,11001001302,0.293797362,77,101,191
15,0.533,12,20008,11001001302,0.293797362,77,101,191
16,1.0,10,20008,11001001402,0.002189166,77,101,191
17,1.0,1,20008,11001004001,0.008363738,77,101,191
18,0.027,6,20008,11001004100,0.084030312,77,101,191
19,0.973,1,20008,11001004100,0.084030312,77,101,191
20,0.587,5,20008,11001005500,0.019421836,77,101,191
21,0.413,6,20008,11001005500,0.019421836,77,101,191
22,1.0,4,20007,11001000100,0.197855388,65,92,189
23,1.0,4,20007,11001000201,0.00104252,65,92,189
24,1.0,4,20007,11001000202,0.156601385,65,92,189
25,1.0,4,20007,11001000300,0.20545089,65,92,189
26,0.348,15,20007,11001000400,0.034924417,65,92,189
27,0.003,42,20007,11001000400,0.034924417,65,92,189
28,0.649,14,20007,11001000400,0.034924417,65,92,189
29,1.0,14,20007,11001000701,0.050189888,65,92,189
30,1.0,14,20007,11001000702,0.183111177,65,92,189
31,0.455,13,20007,11001000801,0.061359744,65,92,189
32,0.545,14,20007,11001000801,0.061359744,65,92,189
33,1.0,13,20007,11001000802,0.109464592,65,92,189
34,0.348,15,20016,11001000400,0.000116666,85,110,201
35,0.003,42,20016,11001000400,0.000116666,85,110,201
36,0.649,14,20016,11001000400,0.000116666,85,110,201
37,0.861,15,20016,11001000600,0.105232456,85,110,201
38,0.139,12,20016,11001000600,0.105232456,85,110,201
39,1.0,14,20016,11001000701,0.159890334,85,110,201
40,0.455,13,20016,11001000801,0.131423905,85,110,201
41,0.545,14,20016,11001000801,0.131423905,85,110,201
42,1.0,13,20016,11001000901,0.191681736,85,110,201
43,1.0,13,20016,11001000902,0.051041241,85,110,201
44,1.0,11,20016,11001001001,0.159715336,85,110,201
45,0.982,14,20016,11001001002,0.139998833,85,110,201
46,0.018,11,20016,11001001002,0.139998833,85,110,201
47,0.441,11,20016,11001001100,0.021816485,85,110,201
48,0.542,10,20016,11001001100,0.021816485,85,110,201
49,0.017,12,20016,11001001100,0.021816485,85,110,201
50,0.334,11,20016,11001001200,0.039083008,85,110,201
51,0.666,12,20016,11001001200,0.039083008,85,110,201
52,1.0,11,20015,11001001001,0.015302013,60,73,142
53,0.441,11,20015,11001001100,0.270469799,60,73,142
54,0.542,10,20015,11001001100,0.270469799,60,73,142
55,0.017,12,20015,11001001100,0.270469799,60,73,142
56,1.0,12,20015,11001001301,0.001744966,60,73,142
57,1.0,10,20015,11001001401,0.199328859,60,73,142
58,1.0,10,20015,11001001402,0.186442953,60,73,142
59,1.0,10,20015,11001001500,0.326711409,60,73,142
60,1.0,16,20012,11001001600,0.280356848,797,955,1457
61,0.292,19,20012,11001001702,0.20832645,797,955,1457
62,0.708,17,20012,11001001702,0.20832645,797,955,1457
63,1.0,17,20012,11001001803,0.069221874,797,955,1457
64,1.0,17,20012,11001001804,0.151164712,797,955,1457
65,1.0,17,20012,11001001901,0.047249298,797,955,1457
66,1.0,17,20012,11001001902,0.011234099,797,955,1457
67,0.875,19,20012,11001009505,0.014703453,797,955,1457
68,0.125,17,20012,11001009505,0.014703453,797,955,1457
69,0.121,40,20012,11001010300,0.217743268,797,955,1457
70,0.879,17,20012,11001010300,0.217743268,797,955,1457
