neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,children_in_poverty_denom_margin,children_in_poverty_numer_margin,hispanic_18_margin,hispanic_under_18_margin,homeownership_denom_margin,homeownership_numer_margin,median_family_income_denom_margin,median_family_income_numer_margin,no_hs_degree_18_24_denom_margin,no_hs_degree_18_24_numer_margin,no_hs_degree_25_plus_denom_margin,no_hs_degree_25_plus_numer_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,single_mother_families_perc_denom_margin,single_mother_families_perc_numer_margin,total_neighborhood_poverty_denom_margin,total_neighborhood_poverty_numer_margin,white_18_margin,white_under_18_margin,work_denom_margin,work_numer_margin,youth_ready_to_work_denom_margin,youth_ready_to_work_numer_margin
1,1764.246,87.757,4.973,2072.414,275.731,141.38,141.38,1820.003,2348.145,1788.577,18421.154,1278.223,333.461,621.057,12464.429,0,54.703,11691.074,773.355,0.054574393,0.368522831,148576.6838,0.002778341,0.039157724,0.049280887,0.073479876,0.062214529,0.963107374,1010.543155,100.981765,282.2673161,129.7649711,1527.613617,179.0699835,312.922951,353.5601369,2.224124322,0,265.2223953,57.91008189,865.2870852,217.2967247,1319.335079,1319.335079,328.8607385,509.2045389,346.554629,786.5987084,263.8670157,117.7666671,147.3056301,730.6504316,41.40842851,253.1737982,59.29474972,785.5922137,353.5604725,2191.951295,199.6060728,686.4584065,223.2975678,241.6785967,238.385285
2,14615.254,2841.856,10.716,10038.916,3058.338,420.744,420.744,16697.687,13097.254,3092.521,49356.649,7225.913,1679.54,3036.334,16469.187,707.614,117.876,15564.212,904.975,0.224092949,0.326784844,74554.20495,0.167592365,0.178623589,0.451454646,0.143221228,0.095756188,0.878621133,3420.190337,412.2018589,674.3622127,350.9107559,4077.455711,482.1725661,423.7779157,436.9651419,3.212990196,0,725.3704697,358.38136,1268.36376,615.2293877,3884.604323,3884.604323,1096.883781,1359.151904,538.3208407,1775.798276,776.9208646,335.7891205,437.20737,908.2833067,237.9323813,702.8765366,547.8326348,1744.644522,834.6169235,2724.84992,223.2983047,1155.433708,399.9805609,609.7366302,551.9392081
3,5372.003,462.036,2.799,1023.052,274.876,45.038,45.038,5527.686,1297.928,885.176,13155.564,1057.292,352.248,515.811,5444.774,133.746,30.789,5169.432,275.342,0.313457634,0.460510017,123589.5288,0.016455528,0.099678243,0.323814761,0.179492641,0.057667077,0.837439653,1733.507254,135.1588296,198.4746075,124.7058416,1212.243283,114.4945643,148.9943847,238.7011344,1.421273725,0,418.1812647,50.81567223,646.392263,199.9495086,965.2395541,965.2395541,551.7003618,404.0810943,250.1672022,699.586998,193.0479108,98.035025,117.9376487,516.5832899,77.39739403,178.2580965,164.601501,603.1393071,439.0975045,1549.74987,99.7663694,494.7217434,144.2552756,300.3228432,277.5144939
4,637,23,4,954,197,207,207,615,1151,1836,19683,2175,759,1048,16081,0,44,14333,1748,0.014960262,0.582996557,210053.1404,0.009243212,0.019274376,0.127162225,0.121385725,0.039742576,0.931283906,555.9802155,78.75277773,362.7588731,94.80506316,1017.557369,118.6718164,279.8035025,378.5842046,2,0,840.8905993,81.92679659,712.0926906,166.2828915,1815.089529,1815.089529,178.3003085,339.1857898,381.7996857,1137.846211,363.0179059,198.3532203,222.4814599,1064.76805,37.97367509,359.8860931,151.6146431,909.7048972,530.860622,3194.30415,322.6282691,718.3933463,136.758912,428.1775333,415.4575791
5,1334.555,11,2.587,1335.477,12.327,51,51,1284.555,1347.804,2664.612,16448.427,307.209,132.658,159.289,11151.456,0,28.457,10918.574,232.882,0.180822957,0.278932111,186865.5783,0.001549868,0.029781944,0.232465453,0.234113908,0.03970816,0.883636885,945.8714624,74.11237095,168.9215375,115.4533577,1130.121169,75.4738281,358.0739321,274.821389,1.53119855,0,1042.736878,52.22312157,595.1691615,166.618107,654.6175677,654.6175677,311.1448079,376.7070563,459.2463365,1191.527866,130.9235135,80.1744947,87.90658415,999.1798949,36.81250986,128.0247015,78.3297734,630.3270482,447.5073274,2997.539685,132.0202007,550.6862011,142.1105607,381.8996185,352.1639751
6,1636.358,124.043,5.539,1362.289,194.792,106.912,106.912,1709.625,1557.081,2610.288,20130.376,963.715,401.761,554.839,14253.382,13.56,60.929,13715.414,537.968,0.089734571,0.325462562,154113.3884,0.006424852,0.026427614,0.146328897,0.100001375,0.042327609,0.953913562,1018.455656,98.63431668,236.8488812,119.0836578,907.3721118,129.7378754,303.1047606,342.6431185,2.153489958,0,343.7950082,50.29895266,785.7726059,177.0957567,934.0432349,934.0432349,337.894669,302.4573706,389.9331821,759.6562709,186.808647,144.8612658,155.4344173,712.582677,45.87045871,179.9089378,111.5264712,751.4494032,325.7853479,2137.748031,166.2590175,686.0816838,167.059946,294.8232544,292.1762152
7,4108.553,714.555,5.378,1958.489,306.688,280.474,280.474,4805.642,2265.177,1896.86,17912.646,1460.657,370.648,531.792,8944.967,49.157,59.158,8786.027,158.94,0.186632359,0.339086972,123712.5997,0.122623524,0.103588562,0.299221969,0.130280613,0.039832356,0.801950831,1362.229235,163.6411532,261.6598524,148.4818514,1401.979811,152.1112162,274.1632197,313.6829741,2.100195705,0,285.259372,111.5945989,816.9478141,304.7470403,1210.200253,1210.200253,453.713637,467.3266037,303.3060028,733.9533565,242.0400506,112.481734,140.594296,549.4211573,70.12334981,240.9821841,109.5652509,729.3574463,449.585214,1648.263472,99.47389355,597.5553562,141.4915058,269.8325717,235.7225005
8,4810.567,1332.729,5.96,1580.699,190.752,168.276,168.276,6073.538,1771.451,2151.342,17690.608,1824.479,395.724,701.838,7694.277,215.843,65.56,7561.555,132.722,0.285596397,0.260608791,131242.3448,0.101020535,0.133080862,0.589360977,0.185352098,0.032807384,0.865603637,1804.395282,266.7034745,354.0804766,243.6103597,968.9079269,115.1936465,258.803746,228.0497151,2.249585295,0,314.2235413,126.1197984,660.9792512,279.1816242,1571.115033,1571.115033,600.5715929,322.969309,337.8561954,749.9285793,314.2230066,162.4331035,200.9940254,422.1156178,138.3811044,320.9832787,275.7290034,711.1013108,499.5594877,1266.346854,96.43070292,484.8605883,105.2727213,260.7600273,243.4058153
9,4570,894,4,699,28,77,77,5370,727,1066,11782,1066,268,303,4619,85,44,4552,67,0.393767705,0.416080402,98679.9414,0.087308731,0.065903175,0.585585586,0.144459668,0.069960647,0.862111801,1701.93625,204.0465633,258.6909353,153.3623161,672.9234726,77.52418977,272.4481602,335.1596634,2,0,267.1797148,75.7627877,632.6033512,178.4404663,980.5865592,980.5865592,564.5414068,224.3078242,280.6314309,678.1408408,196.1173118,102.9320164,109.7223769,527.440044,70.61161378,176.7682098,169.5700445,669.3720938,386.0388581,1582.320132,85.1704174,576.1588323,153.8863217,240.4183853,230.3888018
10,1459.844,325.704,3.542,638.95,187.474,329.91,329.91,1772.548,826.424,934.738,14771.906,3303.904,619.994,955.072,11238.196,40,38.962,8777.38,2460.816,0.017554989,0.73570898,206721.2639,0.060488581,0.035299686,0.063880839,0.062414896,0.04956982,0.928886184,1611.992287,165.078637,349.9175714,98.70979785,965.2902206,106.7131879,194.6900141,270.5089478,1.814872998,0,185.9303756,54.50220649,474.0544495,190.914313,1418.433321,1418.433321,535.8165247,321.7634069,214.5877832,670.0235537,283.6866642,162.7702457,193.0313503,529.5864241,59.17435282,281.7021893,98.18587599,656.1522532,276.8959793,1588.759272,289.1597033,492.3466012,123.6002891,171.9207645,170.5280003
