clusterid,tract,med_dental,med_prev,med_active
1,5031349384.17,681.905488049,820.310239296,1164.80274747
2,14051526405.1,2829.10798093,3493.14498198,4934.41669882
3,2351845332.69,419.256980438,504.959630975,762.755375567
4,6171013076.45,36.461761895,51.607416836,106.019584587
5,21316404040.9,6.89323941759,8.3810601067,46.3843570506
6,16364210544.8,502.224151667,604.03622591,865.330622373
7,9008639096.59,591.954282794,714.277482255,1081.94834649
8,18782252459.2,977.315390879,1180.59412062,1843.85583419
9,11012008055.9,609.350327614,777.312338482,1196.60468268
10,9681191218.32,53.2524426152,64.9350870853,126.108812882
11,3982278372.82,27.0648465362,34.4572022239,64.395261937
12,4592808508.77,32.3671231708,42.3581392786,79.8400689163
13,4839385703.17,34.6441854797,45.9165552631,86.7721306821
14,7324882805.62,50.7491858003,67.9665895848,130.286924406
15,6180826621.35,43.841172175,57.4524921802,108.19401319
16,3084206133.42,223.444407856,267.74078984,408.479927536
17,9186495830.64,1905.08635813,2291.26908199,3356.85030833
18,6642725257.63,3817.73192132,4600.51742703,6639.12884637
19,3118936886.5,1263.57671006,1519.07779831,2205.49116444
20,6105234645.82,788.36242139,906.376558802,1415.83794051
21,6593546786.47,1168.28732562,1401.29055006,2230.02038977
22,8321330755.61,1055.04623993,1157.06650411,1843.77679988
23,3588508118.75,1107.29687155,1356.95717604,2167.3478059
24,4458948850.35,622.515655619,675.787325439,1072.52229118
25,5233276140.78,1688.73164921,2073.19323347,3322.03393147
26,9549478175.32,2133.77943374,2166.41900955,4182.63421081
27,2154010410.97,460.3286212,452.8881756,901.8603272
28,1118024783.94,822.68925132,971.77944671,1513.05714313
29,336845670.241,247.007694784,284.639088969,463.487724798
30,1435214011.36,1052.43726179,1212.77510668,1974.80387154
31,2449487321.58,1796.20035879,2069.84982463,3370.40843324
32,2624865616.8,1925.00623135,2219.96314402,3609.92855965
33,3606664350.8,2644.75386541,3047.67967433,4962.64277435
34,3995260205.09,2938.28251557,3457.48722741,5421.10354284
35,1528349423.8,1124.62321923,1328.43078719,2068.36201209
36,1394718657.85,1026.29214369,1212.2798614,1887.51543364
37,1672305544.06,1230.5521559,1453.55648113,2263.18227264
38,2472842437.31,1688.54066927,2000.35743163,3115.02776863
39,9554836172.46,5063.59829836,6068.50108245,9455.81383779
40,289842908.017,20.9985075361,25.1613233337,38.3874849186
42,1530674.01418,0.009459264705,0.013113283152,0.026369603517
43,4221980.38377,3.07908246012,3.63830840846,5.66493407564
44,809389702.828,428.937249796,514.062532474,801.001687568
45,2011441.37985,0.60426490341,0.720409205886,1.18799210136
