neighborhood,black_18,black_under_18,county,hispanic_18,hispanic_under_18,other_18,other_under_18,population_black_total,population_hisp_total,population_other_total,population_total,population_under_18,population_under_3,population_under_5,population_white_total,poverty_under_5,state,white_18,white_under_18,children_in_poverty_ratio,homeownership_ratio,median_family_income_ratio,no_hs_degree_18_24_ratio,no_hs_degree_25_plus_ratio,single_mother_families_perc_ratio,total_neighborhood_poverty_ratio,work_ratio,youth_ready_to_work_ratio,black_18_margin,black_under_18_margin,hispanic_18_margin,hispanic_under_18_margin,other_18_margin,other_under_18_margin,population_black_total_margin,population_hisp_total_margin,population_other_total_margin,population_total_margin,population_under_18_margin,population_under_3_margin,population_under_5_margin,population_white_total_margin,poverty_under_5_margin,white_18_margin,white_under_18_margin
1,1764.246,87.757,4.973,2072.414,275.731,141.38,141.38,1820.003,2348.145,1788.577,18421.154,1278.223,333.461,621.057,12464.429,0.0,54.703,11691.074,773.355,0.0545743930431,0.368522830622,148576.683783,0.00277834093356,0.0391577240897,0.0492808867773,0.073479875665,0.0622145288358,0.963107373683,1010.54315486,100.981764973,1527.61361659,179.069983495,1319.33507859,1319.33507859,328.860738484,509.204538864,346.554628975,786.598708395,263.867015718,117.766667105,147.30563012,730.650431619,41.408428514,2191.95129486,199.606072766
2,14615.254,2841.856,10.716,10038.916,3058.338,420.744,420.744,16697.687,13097.254,3092.521,49356.649,7225.913,1679.54,3036.334,16469.187,707.614,117.876,15564.212,904.975,0.224092948965,0.326784843561,74554.2049527,0.167592365218,0.178623589181,0.451454645765,0.143221227599,0.0957561884065,0.878621132799,3420.19033749,412.201858925,4077.45571133,482.17256606,3884.604323,3884.604323,1096.88378144,1359.15190378,538.320840672,1775.79827621,776.920864599,335.789120463,437.207369963,908.283306698,237.9323813,2724.84992009,223.298304711
3,5372.003,462.036,2.799,1023.052,274.876,45.038,45.038,5527.686,1297.928,885.176,13155.564,1057.292,352.248,515.811,5444.774,133.746,30.789,5169.432,275.342,0.313457634451,0.460510017207,123589.528829,0.0164555283281,0.0996782430971,0.323814761439,0.179492640696,0.0576670774179,0.837439652753,1733.50725414,135.158829645,1212.24328277,114.494564321,965.239554139,965.239554139,551.700361771,404.081094258,250.167202215,699.586998042,193.047910828,98.0350249962,117.937648675,516.583289946,77.3973940324,1549.74986984,99.7663693987
4,637.0,23.0,4.0,954.0,197.0,207.0,207.0,615.0,1151.0,1836.0,19683.0,2175.0,759.0,1048.0,16081.0,0.0,44.0,14333.0,1748.0,0.0149602618046,0.582996557402,210053.140389,0.00924321201618,0.0192743764172,0.127162225339,0.121385724877,0.0397425764932,0.931283905967,555.980215475,78.7527777288,1017.55736939,118.671816368,1815.08952947,1815.08952947,178.300308469,339.185789797,381.799685699,1137.84621105,363.017905894,198.353220291,222.481459902,1064.76804986,37.9736750921,3194.30414958,322.628269065
5,1334.555,11.0,2.587,1335.477,12.327,51.0,51.0,1284.555,1347.804,2664.612,16448.427,307.209,132.658,159.289,11151.456,0.0,28.457,10918.574,232.882,0.18082295653,0.278932110533,186865.578275,0.00154986813062,0.029781943532,0.23246545332,0.234113908188,0.0397081603642,0.883636885139,945.871462372,74.1123709511,1130.12116881,75.4738280995,654.617567745,654.617567745,311.144807897,376.707056271,459.246336483,1191.52786628,130.923513549,80.1744947037,87.9065841504,999.179894914,36.8125098574,2997.53968474,132.020200685
6,1636.358,124.043,5.539,1362.289,194.792,106.912,106.912,1709.625,1557.081,2610.288,20130.376,963.715,401.761,554.839,14253.382,13.56,60.929,13715.414,537.968,0.089734571375,0.325462562442,154113.388394,0.00642485160226,0.026427614059,0.146328896522,0.100001375287,0.0423276088319,0.953913561898,1018.45565602,98.6343166804,907.372111774,129.737875422,934.04323488,934.04323488,337.894669033,302.457370591,389.933182111,759.65627089,186.808646976,144.861265806,155.434417344,712.582677004,45.8704587071,2137.74803101,166.25901747
7,4108.553,714.555,5.378,1958.489,306.688,280.474,280.474,4805.642,2265.177,1896.86,17912.646,1460.657,370.648,531.792,8944.967,49.157,59.158,8786.027,158.94,0.186632359059,0.339086972245,123712.599704,0.122623524469,0.103588561659,0.299221968664,0.130280613249,0.039832356499,0.801950830849,1362.22923511,163.641153235,1401.97981118,152.111216227,1210.20025281,1210.20025281,453.713637,467.326603728,303.306002819,733.953356549,242.040050562,112.481733953,140.594296037,549.42115734,70.1233498059,1648.26347202,99.47389355
8,4810.567,1332.729,5.96,1580.699,190.752,168.276,168.276,6073.538,1771.451,2151.342,17690.608,1824.479,395.724,701.838,7694.277,215.843,65.56,7561.555,132.722,0.285596397173,0.260608790543,131242.344791,0.101020534742,0.133080861687,0.589360976777,0.185352097612,0.0328073837403,0.865603637388,1804.39528216,266.703474488,968.907926852,115.193646465,1571.1150328,1571.1150328,600.571592871,322.969308951,337.8561954,749.928579325,314.223006561,162.433103501,200.994025429,422.115617841,138.38110436,1266.34685352,96.4307029218
9,4570.0,894.0,4.0,699.0,28.0,77.0,77.0,5370.0,727.0,1066.0,11782.0,1066.0,268.0,303.0,4619.0,85.0,44.0,4552.0,67.0,0.393767705382,0.41608040201,98679.9413989,0.0873087308731,0.0659031754295,0.585585585586,0.144459667751,0.069960647136,0.862111801242,1701.93625027,204.046563313,672.923472618,77.5241897733,980.586559157,980.586559157,564.541406807,224.307824206,280.631430884,678.140840829,196.117311831,102.932016399,109.722376934,527.440043986,70.6116137756,1582.32013196,85.1704173995
10,1459.844,325.704,3.542,638.95,187.474,329.91,329.91,1772.548,826.424,934.738,14771.906,3303.904,619.994,955.072,11238.196,40.0,38.962,8777.38,2460.816,0.0175549894912,0.735708979912,206721.263898,0.0604885810608,0.035299685826,0.0638808394963,0.0624148959447,0.0495698195045,0.928886183998,1611.99228704,165.078637007,965.290220607,106.713187901,1418.4333211,1418.4333211,535.816524721,321.763406869,214.587783184,670.02355369,283.68666422,162.770245745,193.031350345,529.586424056,59.1743528228,1588.75927217,289.159703264
