layer,source,url
population_total,2008-2012 ACS,http://google.com
population_under_18,2008-2012 ACS,http://google.com
population_under_5,2008-2012 ACS,http://google.com
children_in_poverty,2008-2012 ACS,http://google.com
medicaid_enroll,DHCF 2012 (Medicaid claims data),http://google.com
er_ast_10,DHCF 2012 (Medicaid claims data),http://google.com
prev_med_visit,DHCF 2012 (Medicaid claims data),http://google.com
fs_client_2012,DHCF 2012 (Medicaid claims data),http://google.com
dental_visit,DHCF 2012 (Medicaid claims data),http://google.com
total_neighborhood_poverty,2008-2012 ACS,http://google.com
vacants,"DC Dept of Consumer & Regulatory Affairs, 2012",http://google.com
assault_pc,"MPD, 2012",http://google.com
homicide_pc,"MPD, 2012",http://google.com
robbery_pc,"MPD, 2012",http://google.com
sex_abuse_pc,"MPD, 2012",http://google.com
total_crime,"MPD, 2012",http://google.com
violent_crimes,"MPD, 2012",http://google.com
work,2008-2012 ACS,http://google.com
youth_ready_to_work,2008-2012 ACS,http://google.com
single_mother_families,2008-2012 ACS,http://google.com
homeownership,2008-2012 ACS,http://google.com
libraries,D.C. Public Libraries,http://google.com
grocery,D.C. Office of Planning,http://google.com
rec,"National Park Service, D.C. Dept of Parks & Rec",http://google.com
metro,WMATA,http://google.com
bus_stops,WMATA,http://google.com
math,DCPS,http://google.com
reading,DCPS,http://google.com
cc_cap,"OSSE, 2012 ",http://google.com
cc_ratio,"OSSE, 2013",http://google.com
cc_ratio_demand,"OSSE, 2014",http://google.com
cc_sub_13,"OSSE, 2015",http://google.com
