code,name,enroll_val,math_perc,reading_perc,tanfsnap_perc,isa_perc,grad_perc,lat,long
202,Aiton ES,260,0.137,0.055,0.809160305,0.936,,38.895044,-76.933994
203,Amidon Bowen  ES,356,0.121,0.086,0.736231884,0.924,,38.879286,-77.018883
204,Bancroft ES,521,0.3,0.2,0.356299213,0.965,,38.933974,-77.04055344
205,Barnard ES,637,0.338,0.319,0.468438538,0.95,,38.94823095,-77.01777708
206,Beers ES,437,0.116,0.173,0.554794521,0.935,,38.86298,-76.956551
212,Brent ES,384,0.609,0.609,0.0625,0.968,,38.884799,-77.00145985
213,Brightwood EC,709,0.204,0.124,0.472613459,0.952,,38.960218,-77.030264
220,Burroughs EC,285,0.321,0.244,0.511784512,0.964,,38.933213,-76.97845637
221,Burrville ES,326,0.111,0.1,0.677777778,0.93,,38.900524,-76.924866
224,Cleveland ES,319,0.333,0.286,0.444805195,0.952,,38.915208,-77.022871
227,H D Cooke ES,397,0.341,0.159,0.535,0.942,,38.923918,-77.038972
231,Drew ES,247,0.19,0.238,0.815920398,0.926,,38.89581,-76.919148
232,Eaton ES,478,0.708,0.71,0.054736842,0.97,,38.932541,-77.066384
238,Garfield ES,317,0.112,0.155,0.820422535,0.938,,38.851295,-76.972202
239,Garrison ES,244,0.19,0.138,0.471311475,0.935,,38.914088,-77.02962
246,Hardy MS,374,0.313,0.397,0.248704663,0.939,,38.916586,-77.069334
247,C W  Harris ES,293,0.094,0.047,0.773195876,0.911,,38.883736,-76.926439
249,Hendley ES,463,0.022,0.022,0.89860835,0.928,,38.829131,-76.998693
251,Houston ES,275,0.116,0.058,0.745519713,0.911,,38.906067,-76.929634
252,Hyde Addison ES,316,0.727,0.609,0.078688525,0.958,,38.907906,-77.064614
254,Janney ES,731,0.769,0.694,.,0.967,,38.947839,-77.080688
257,Ketcham ES,313,0.337,0.133,0.841423948,0.905,,38.865734,-76.983478
258,Hearst ES,316,0.563,0.546,0.130584192,0.957,,38.938649,-77.072495
259,Kimball ES,356,0.125,0.047,0.764367816,0.921,,38.883195,-76.957696
261,Lafayette ES,700,0.826,0.672,0.027259684,0.966,,38.966727,-77.068816
262,Langdon EC,300,0.15,0.112,0.558823529,0.951,,38.924585,-76.977544
264,LaSalle Backus EC,341,0.132,0.108,0.512893983,0.933,,38.961027,-76.998672
266,Leckie ES,519,0.254,0.282,0.466527197,0.948,,38.827798,-77.012587
271,Ludlow Taylor ES,370,0.396,0.417,0.320588235,0.954,,38.898834,-76.997461
272,Key ES,386,0.723,0.716,0.031331593,0.96,,38.925661,-77.100657
273,Mann ES,360,0.767,0.814,.,0.964,,38.934482,-77.088039
274,Maury ES,383,0.437,0.444,0.12568306,0.963,,38.892085,-76.988612
280,Miner ES,398,0.241,0.093,0.728643216,0.944,,38.897377,-76.983572
284,Marie Reed ES,399,0.424,0.349,0.358778626,0.944,,38.918042,-77.041585
285,Moten ES,423,0.068,0.034,0.873417722,0.905,,38.857155,-76.985329
287,Murch ES,625,0.702,0.663,0.029032258,0.984,,38.952241,-77.069919
288,Nalle ES,391,0.198,0.095,0.763020833,0.957,,38.886248,-76.930535
290,Noyes EC,192,0.138,0.075,0.629757785,0.919,,38.924402,-76.992351
291,Orr ES,421,0.155,0.141,0.765625,0.924,,38.87222,-76.973227
292,Oyster Adams Bilingual School (Oyster),663,0.536,0.598,0.083076923,0.969,,38.92359583,-77.05720337
294,Patterson ES,404,0.074,0.058,0.847368421,0.89,,38.826996,-77.008702
295,Payne ES,308,0.223,0.084,0.584837545,0.919,,38.88528,-76.984431
296,Bruce Monroe ES at Park View,470,0.251,0.14,0.475268817,0.949,,38.9344141,-77.02118567
299,Plummer ES,409,0.066,0.046,0.808411215,0.921,,38.887045,-76.940479
300,Powell ES,512,0.281,0.096,0.414798206,0.956,,38.941864,-77.029704
302,Raymond EC,572,0.16,0.222,0.528399312,0.96,,38.935639,-77.027007
305,Ross ES,167,0.745,0.706,.,0.966,,38.912532,-77.039351
307,Savoy ES,349,0.087,0.055,0.81372549,0.903,,38.864168,-76.991756
308,Malcolm X ES at Green,238,0.013,0.051,0.844262295,0.927,,38.844994,-76.986483
309,Seaton ES,311,0.407,0.238,0.494915254,0.961,,38.910897,-77.025918
313,Shepherd ES,330,0.478,0.46,0.185534591,0.961,,38.985092,-77.033411
315,Simon ES,301,0.144,0.056,0.774744027,0.932,,38.837554,-76.998431
316,Randle Highlands ES,339,0.165,0.071,0.633333333,0.93,,38.870121,-76.964699
319,Stanton ES,526,0.189,0.092,0.866782007,0.924,,38.85796,-76.967919
321,Stoddert ES,432,0.759,0.717,0.040669856,0.953,,38.922549,-77.079759
322,Smothers ES,274,0.081,0.058,0.730909091,0.919,,38.893246,-76.937754
324,Takoma EC,468,0.115,0.172,0.42760181,0.927,,38.975174,-77.02159
325,Thomas ES,411,0.125,0.11,0.715686275,0.92,,38.900768,-76.952139
326,Thomson ES,287,0.434,0.293,0.444852941,0.964,,38.903737,-77.029626
327,Truesdell EC,588,0.161,0.179,0.551330798,0.942,,38.954139,-77.025655
328,Tubman ES,545,0.182,0.113,0.602409639,0.94,,38.929657,-77.029709
329,Turner ES,460,0.006,0.051,0.849489796,0.932,,38.841622,-76.98257
330,Tyler ES,520,0.185,0.235,0.457854406,0.951,,38.881267,-76.991532
332,Walker Jones EC,449,0.053,0.08,0.741935484,0.894,,38.903993,-77.014199
333,Watkins ES Capitol Hill Cluster,463,0.389,0.304,0.196,0.962,,38.88361,-76.990171
335,Wheatley EC,359,0.055,0.038,0.784017279,0.916,,38.904559,-76.98892
336,West EC,267,0.246,0.261,0.419475655,0.958,,38.950725,-77.032066
338,Whittier EC,365,0.109,0.146,0.597142857,0.928,,38.96554,-77.019899
339,J O Wilson ES,505,0.346,0.209,0.497854077,0.941,,38.902587,-76.99725
344,"King, M L ES",394,0.134,0.052,0.879032258,0.911,,38.841878,-76.998448
346,Brookland EC at Bunker Hill,156,0.207,0.172,0.475555556,0.92,,38.942553,-76.983674
360,Capitol Hill Montessori School at Logan,330,0.34,0.351,0.080645161,0.959,,38.898839,-77.002244
370,Langley EC,278,0.198,0.133,0.640138408,0.921,,38.915568,-77.003507
402,Benjamin Banneker HS,454,0.615,0.984,0.222717149,0.945,1.0,38.924017,-77.023517
404,Browne EC,333,0.062,0.068,0.677053824,0.939,,38.901892,-76.970305
405,Deal MS,1341,0.503,0.626,0.072408537,0.952,,38.952408,-77.074124
