layer,source,url
population_total_val,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
population_under_18_val,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
population_under_5_val,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
total_neighborhood_poverty_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
children_in_poverty_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
single_mother_families_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
no_dip_18_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
no_dip_25_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
youth_ready_to_work_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
engagement_perc,"D.C. Board of Elections, 2014",https://www.dcboee.org/election_info/election_results/2014/November-4-General-Election/
medicaid_enroll_val,"DC Department of Health Care Finance, 2014",http://dhcf.dc.gov/
prev_med_visit_val,"DC Department of Health Care Finance, 2014",http://dhcf.dc.gov/
dental_visit_val,"DC Department of Health Care Finance, 2014",http://dhcf.dc.gov/
er_ast_10_val,"DC Department of Health, 2010",http://doh.dc.gov/
fs_client_2012_val,"DC Department of Human Services, 2014",http://dhs.dc.gov/
math_perc,"OSSE, 2016",http://osse.dc.gov/
reading_perc,"OSSE, 2016",http://osse.dc.gov/
cc_cap_val,"OSSE, July 2014",http://osse.dc.gov/
cc_pop_ratio,"OSSE, July 2014",http://osse.dc.gov/
cc_child_pov_ratio,"OSSE, July 2014",http://osse.dc.gov/
cc_sub_13_cur,"OSSE, July 2014",http://osse.dc.gov/
homeownership_perc,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
vacants_val,"DC Department of Consumer and Regulatory Affairs, 2014",http://dcra.dc.gov/publication/blight-and-vacant-buildings-list
grocery_val,"Open Data DC - Grocery Store Locations, 2017",http://opendata.dc.gov/datasets/grocery-store-locations
rec_val,"DC Department of Parks and Recreation, 2017",https://dpr.dc.gov/page/recreation-centers-00
parks_val,"Open Data DC - Parks and Recreation Areas, 2017",http://opendata.dc.gov/datasets/parks-and-recreation-areas?geometry=-77.474%2C38.809%2C-76.548%2C38.996
metro_val,"WMATA",http://dcatlas.dcgis.dc.gov/metadata/MetroStnFullPt.html
bus_stops_val,"WMATA, 2011",http://dcatlas.dcgis.dc.gov/metadata/BusStopPt.html
total_crime_val,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
total_crime_pc_ratio,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
homicide_val,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
homicide_pc_ratio,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
assault_val,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
assault_pc_ratio,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
robbery_val,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
robbery_pc_ratio,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
sex_abuse_val,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
sex_abuse_pc_ratio,"DC Metropolitan Police Department, 2016",http://crimemap.dc.gov/Download.aspx
median_family_income_val,2011-2015 ACS,http://factfinder2.census.gov/faces/nav/jsf/pages/programs.xhtml?program=acs
